#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
2,Portal 2,4/18/2011,$4.99,99% (95%),"6,555,824 ±74,974",16:13 (10:04)
7,Mark of the Ninja,10/16/2012,$7.49,98% (91%),"1,361,956 ±34,549",06:39 (03:17)
37,BattleBlock Theater,5/15/2014,$3.74,98% (85%),"1,337,298 ±34,237",06:43 (03:43)
144,LISA,12/15/2014,$4.99,98% (78%),"21,662 ±4,369",07:15 (05:53)
528,Broforce,4/7/2014,$11.99,98% (N/A),"276,539 ±15,603",09:44 (04:36)
1543,SanctuaryRPG: Black Edition,2/13/2015,$3.99,98% (N/A),"32,263 ±5,332",04:04 (03:01)
3,Batman: Arkham Asylum,3/26/2010,$9.99,97% (91%),"97,941 ±9,289",16:00 (11:57)
4,Batman: Arkham Asylum GOTY Edition,3/26/2010,$9.99,97% (91%),"2,084,645 ±42,680",10:28 (06:11)
5,Dishonored,10/8/2012,$9.99,97% (91%),"1,972,186 ±41,522",16:52 (10:48)
24,The Swapper,5/30/2013,$5.99,97% (87%),"635,349 ±23,633",02:59 (01:18)
35,The Talos Principle,12/11/2014,$23.99,97% (85%),"129,743 ±10,691",14:51 (08:29)
39,The Wolf Among Us,10/11/2013,$6.24,97% (85%),"608,847 ±23,136",10:06 (08:32)
41,Shovel Knight,6/26/2014,$12.74,97% (85%),"226,993 ±14,138",09:03 (04:58)
43,Trine 2,6/6/2013,$1.99,97% (84%),"2,227,063 ±44,100",05:51 (02:55)
48,Terraria,5/16/2011,$4.99,97% (83%),"5,949,511 ±71,515",60:16 (18:16)
80,The Walking Dead,4/24/2012,$12.49,97% (82%),"1,712,930 ±38,718",12:54 (11:22)
95,To the Moon,9/7/2012,$2.49,97% (81%),"794,359 ±26,417",02:50 (01:51)
126,Don't Starve,,$8.99,97% (79%),"2,710,085 ±48,599",18:18 (05:53)
295,Primordia,12/5/2012,$2.99,97% (72%),"66,369 ±7,647",04:25 (03:13)
878,The Expendabros,8/5/2014,Free,97% (N/A),"1,647,252 ±37,974",02:03 (01:01)
1009,Life Is Strange™,1/29/2015,$4.99,97% (N/A),"305,115 ±16,389",06:43 (04:50)
1067,South Park™: The Stick of Truth™,3/3/2014,$23.99,97% (N/A),"1,117,449 ±31,311",16:16 (13:21)
1173,Don't Starve Together Beta,12/15/2014,$11.99,97% (N/A),"3,113,832 ±52,049",12:46 (05:27)
1374,Epic Battle Fantasy 4,2/25/2014,$3.59,97% (N/A),"51,621 ±6,744",17:51 (09:22)
1501,Gaokao.Love.100Days,5/30/2015,$8.99,97% (N/A),"14,518 ±3,577",06:26 (05:24)
8,Batman: Arkham City GOTY,9/7/2012,$9.99,96% (91%),"2,408,426 ±45,843",15:47 (07:33)
9,Brothers - A Tale of Two Sons,9/3/2013,$2.99,96% (90%),"782,606 ±26,221",02:44 (02:14)
25,The Secret of Monkey Island: Special Edition,7/15/2009,$6.69,96% (86%),"431,171 ±19,477",05:44 (03:34)
