,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
0,Orcs Must Die!,1346,499,98,1278994,725
1,SanctuaryRPG: Black Edition,125,535,98,32263,404
2,Creeper World 3: Arc Eternal,448,149,98,70287,2427
3,Sid Meier's Civilization V,1731,749,97,7496057,15408
4,Plants vs. Zombies: Game of the Year,2235,249,97,999689,3707
5,Sid Meier's Civilization IV: Beyond the Sword,2886,249,97,961435,4201
6,FTL: Faster Than Light,1007,499,97,2259556,2532
7,Gunpoint,745,499,97,611843,322
8,Door Kickers,241,799,97,78122,938
9,Supreme Commander: Forged Alliance,1359,749,97,768549,2746
10,Defense Grid: The Awakening,2383,999,97,561836,1906
11,Evil Genius,2187,339,97,163389,1520
12,Mini Metro,311,629,97,79044,804
13,Defender's Quest: Valley of the Forgotten,961,494,97,168919,1433
14,Company of Heroes,2893,499,96,2454286,1432
15,"Warhammer 40,000: Dawn of War - Dark Crusade",2872,649,96,606773,2030
16,Orcs Must Die! 2,1053,749,96,1845669,1243
17,Bejeweled 3,1654,249,96,350974,4150
18,Chroma Squad,49,1349,96,28345,742
19,Hyperdimension Neptunia Re;Birth1,140,1499,96,84575,2114
20,Game Dev Tycoon,658,499,96,866029,1107
21,RollerCoaster Tycoon: Deluxe,393,149,96,110846,1319
22,Kingdom Rush,528,499,96,215470,1143
23,X-COM: UFO Defense,2478,249,96,566905,1630
24,Worms Armageddon,821,374,96,465277,451
25,Hexcells,484,89,96,60839,302
26,Rome: Total War,2851,499,95,1190041,3608
27,Braid,2260,299,95,1125515,343
28,XCOM: Enemy Unknown,983,1499,95,2679896,4809
29,Medieval II: Total War,2760,999,95,1044857,5442
30,Cities: Skylines,100,1999,95,1213316,2223
31,Infested Planet,469,494,95,55538,1028
32,"Warhammer 40,000: Dawn of War - Soulstorm",2661,649,95,595020,2736
33,Company of Heroes: Tales of Valor,2261,999,95,1761325,2540
34,Long Live The Queen,587,199,95,286679,503
35,The Long Dark,269,1339,95,315946,847
36,Plague Inc: Evolved,483,1124,95,544321,1034
37,"Invisible, Inc.",37,1599,95,93332,1025
38,"Cook, Serve, Delicious!",618,249,95,188508,741
39,Hyperdimension Neptunia Re;Birth2 Sisters Generation,20,1499,95,38946,943
40,HuniePop,150,669,95,129513,1148
41,Shadowrun: Dragonfall - Director's Cut,273,449,94,397986,1514
42,"Warhammer 40,000: Dawn of War - Game of the Year Edition",2872,649,94,1148790,442
43,Sins of a Solar Empire�: Rebellion,1101,1999,94,650559,3633
44,Napoleon: Total War,1941,749,94,1869636,6251
