#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
169,Broforce,4/7/2014,$9.99,98% (N/A),"276,539 ±15,603",09:44 (04:36)
208,Crawl,8/6/2014,$9.99,98% (N/A),"35,028 ±5,556",04:35 (02:00)
288,Nuclear Throne,10/11/2013,$12.99,98% (N/A),"126,286 ±10,547",17:08 (04:13)
19,Don't Starve Together Beta,12/15/2014,$11.99,97% (N/A),"3,113,832 ±52,049",12:46 (05:27)
174,Distance,12/9/2014,$15.99,97% (N/A),"34,107 ±5,482",04:11 (02:52)
387,Mini Metro,8/11/2014,$6.29,97% (N/A),"79,044 ±8,345",08:04 (03:34)
411,Besiege,1/28/2015,$5.94,97% (N/A),"960,974 ±29,045",07:42 (03:25)
26,Black Mesa,5/5/2015,$16.99,96% (N/A),"72,131 ±7,972",06:22 (03:19)
113,SpeedRunners,8/26/2013,$9.74,95% (N/A),"683,974 ±24,518",08:34 (03:33)
152,The Long Dark,9/22/2014,$13.39,95% (N/A),"315,946 ±16,677",08:47 (03:06)
347,Brawlhalla,4/30/2014,Free,95% (N/A),"178,368 ±12,534",04:51 (01:26)
396,Darkwood,7/24/2014,$14.99,95% (N/A),"35,950 ±5,628",05:32 (01:43)
417,Plague Inc: Evolved,2/20/2014,$11.24,95% (N/A),"544,321 ±21,879",10:34 (05:52)
89,Killing Floor 2,4/21/2015,$26.99,94% (N/A),"408,356 ±18,956",14:06 (06:50)
145,Space Engineers,10/23/2013,$16.24,94% (N/A),"1,278,764 ±33,483",37:42 (09:43)
249,Viscera Cleanup Detail,4/4/2014,$7.99,94% (N/A),"173,528 ±12,363",05:11 (03:10)
270,Serious Sam Classics: Revolution,4/30/2014,$1.49,94% (N/A),"538,560 ±21,763",03:11 (00:40)
354,Dig or Die,3/4/2015,$2.99,94% (N/A),"29,958 ±5,138",03:14 (01:41)
384,Prison Architect,,$4.49,94% (N/A),"1,198,106 ±32,416",20:42 (07:58)
25,Subnautica,12/16/2014,$17.99,93% (N/A),"154,632 ±11,671",07:22 (04:46)
55,Project Zomboid,11/8/2013,$11.99,93% (N/A),"491,088 ±20,784",12:51 (04:33)
123,Unturned,7/7/2014,Free,93% (N/A),"15,027,834 ±111,439",10:40 (02:41)
286,BeamNG.drive,5/29/2015,$22.49,93% (N/A),"94,715 ±9,135",12:05 (03:34)
369,Grim Dawn,11/5/2013,$16.24,93% (N/A),"146,105 ±11,344",26:04 (08:03)
414,Melody's Escape,2/26/2014,$6.69,93% (N/A),"30,419 ±5,177",04:12 (01:52)
11,DiRT Rally,4/27/2015,$26.24,92% (N/A),"82,040 ±8,502",09:37 (03:48)
17,Gnomoria,,$7.99,92% (N/A),"207,865 ±13,530",30:20 (02:18)
66,Tree of Life: Beginning of a Journey,5/27/2015,$19.99,92% (N/A),"30,880 ±5,216",28:45 (14:11)
78,Delver,9/6/2013,$7.99,92% (N/A),"120,064 ±10,284",02:07 (01:02)
150,Spooky's House of Jump Scares,4/24/2015,Free,92% (N/A),"205,791 ±13,462",00:47 (00:23)
88,The Forest,5/30/2014,$10.04,91% (N/A),"1,319,323 ±34,007",09:09 (05:09)
311,AirMech,11/8/2012,Free,91% (N/A),"749,421 ±25,661",10:33 (02:05)
340,Starbound,12/4/2013,$10.04,91% (N/A),"1,868,253 ±40,422",45:20 (23:44)
423,Stranded Deep,1/23/2015,$9.89,91% (N/A),"473,113 ±20,401",07:14 (03:46)
336,Darkest Dungeon,2/3/2015,$17.99,90% (N/A),"376,785 ±18,209",14:21 (08:09)
76,TOXIKK,1/22/2015,$15.19,89% (N/A),"36,181 ±5,646",02:04 (01:12)
158,LEGO� Worlds,6/1/2015,$14.99,89% (N/A),"182,285 ±12,670",03:34 (01:43)
355,Creativerse,8/12/2014,$13.99,89% (N/A),"41,250 ±6,029",12:29 (05:18)
380,From The Depths,8/7/2014,$7.99,89% (N/A),"32,954 ±5,389",16:18 (03:46)
1,HAWKEN,2/14/2014,Free,86% (73%),"2,292,741 ±44,740",06:48 (01:09)
322,Medieval Engineers,2/19/2015,$14.99,86% (N/A),"162,236 ±11,954",06:47 (02:06)
424,FaceRig,2/1/2015,$7.99,86% (N/A),"149,101 ±11,460",04:03 (00:54)
67,Robocraft,7/8/2014,Free,85% (N/A),"6,931,687 ±77,031",17:20 (02:18)
178,Rust,12/11/2013,$19.99,85% (N/A),"2,611,683 ±47,718",65:47 (20:54)
255,Overgrowth,,$25.49,85% (N/A),"92,180 ±9,012",06:41 (02:59)
252,The Red Solstice,7/10/2014,$17.99,84% (N/A),"43,555 ±6,195",07:54 (01:45)
401,Kenshi,,$19.99,84% (N/A),"111,307 ±9,902",17:29 (05:09)
