#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
255,The Expendabros,8/5/2014,Free,97% (N/A),"1,647,252 ±37,974",02:03 (01:01)
1,Team Fortress 2,10/10/2007,Free,96% (92%),"28,118,741 ±147,945",74:49 (04:50)
184,Floating Point,6/6/2014,Free,96% (N/A),"546,626 ±21,925",01:19 (00:15)
87,Brawlhalla,4/30/2014,Free,95% (N/A),"178,368 ±12,534",04:51 (01:26)
243,Free to Play,3/19/2014,Free,95% (N/A),"1,407,815 ±35,123",01:46 (01:16)
3,Path of Exile,10/23/2013,Free,94% (86%),"3,332,067 ±53,817",42:08 (04:38)
14,Altitude,12/4/2009,Free,94% (79%),"290,597 ±15,994",06:31 (01:02)
162,Sunrider: Mask of Arcadius,7/9/2014,Free,94% (N/A),"318,251 ±16,737",04:14 (00:59)
183,Jigoku Kisetsukan: Sense of the Seasons,5/12/2015,Free,94% (N/A),"71,209 ±7,921",00:56 (00:20)
217,Voices from the Sea,3/24/2015,Free,94% (N/A),"62,682 ±7,432",00:43 (00:12)
228,Sigils of Elohim,10/13/2014,Free,94% (N/A),"168,689 ±12,189",01:12 (00:21)
2,Dota 2,7/9/2013,Free,93% (90%),"51,136,716 ±188,391",191:51 (06:04)
67,You Have to Win the Game,5/6/2014,Free,93% (N/A),"402,826 ±18,827",01:09 (00:23)
158,Fistful of Frags,5/9/2014,Free,93% (N/A),"1,572,817 ±37,111",04:46 (01:45)
185,Everlasting Summer,11/19/2014,Free,93% (N/A),"415,270 ±19,115",07:16 (01:50)
206,Unturned,7/7/2014,Free,93% (N/A),"15,027,834 ±111,439",10:40 (02:41)
231,AdVenture Capitalist,3/30/2015,Free,93% (N/A),"1,356,425 ±34,480",25:01 (03:16)
81,Clicker Heroes,5/13/2015,Free,92% (N/A),"1,258,945 ±33,224",29:39 (06:46)
225,Spooky's House of Jump Scares,4/24/2015,Free,92% (N/A),"205,791 ±13,462",00:47 (00:23)
230,Echoes+,1/15/2015,Free,92% (N/A),"148,409 ±11,433",00:24 (00:09)
41,Warframe,3/25/2013,Free,91% (68%),"7,340,043 ±79,198",59:39 (04:44)
64,The Plan,2/14/2014,Free,91% (N/A),"388,999 ±18,502",00:18 (00:07)
88,Double Action: Boogaloo,10/23/2014,Free,91% (N/A),"1,102,009 ±31,095",01:30 (00:36)
135,AirMech,11/8/2012,Free,91% (N/A),"749,421 ±25,661",10:33 (02:05)
177,No More Room in Hell,10/31/2013,Free,91% (N/A),"4,165,142 ±60,064",07:15 (01:54)
227,Super Crate Box,8/29/2012,Free,91% (N/A),"600,090 ±22,970",01:54 (00:37)
65,"Pirates, Vikings, & Knights II",2/12/2010,Free,90% (N/A),"248,424 ±14,790",14:16 (01:29)
76,My Lands,9/16/2014,Free,90% (N/A),"206,252 ±13,477",20:48 (00:18)
105,Without Within,1/22/2015,Free,90% (N/A),"117,299 ±10,165",00:11 (00:06)
113,The Old Tree,1/26/2015,Free,89% (N/A),"129,282 ±10,672",00:19 (00:13)
