#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
3,Path of Exile,10/23/2013,Free,94% (86%),"3,332,067 ±53,817",42:08 (04:38)
75,Tree of Life: Beginning of a Journey,5/27/2015,$19.99,92% (N/A),"30,880 ±5,216",28:45 (14:11)
7,FINAL FANTASY XIV: A Realm Reborn,2/18/2014,Free,90% (83%),"252,573 ±14,912",152:54 (35:59)
68,My Lands,9/16/2014,Free,90% (N/A),"206,252 ±13,477",20:48 (00:18)
54,Creativerse,8/12/2014,$13.99,89% (N/A),"41,250 ±6,029",12:29 (05:18)
9,War Thunder,8/15/2013,Free,88% (82%),"5,709,383 ±70,093",41:22 (05:43)
1,EVE Online,12/15/2010,$9.99,87% (88%),"317,790 ±16,725",138:40 (22:18)
13,Bloodline Champions,10/28/2011,Free,87% (79%),"369,410 ±18,031",15:22 (01:36)
150,Dragon Nest,12/18/2012,Free,87% (N/A),"316,177 ±16,683",25:44 (02:43)
4,PlanetSide 2,11/20/2012,Free,86% (84%),"4,092,781 ±59,550",30:03 (04:19)
26,The Secret World,8/8/2012,$14.99,86% (74%),"272,852 ±15,499",52:17 (13:44)
21,Star Conflict,2/27/2013,Free,85% (75%),"1,044,397 ±30,275",17:58 (01:37)
28,DC Universe Online,11/2/2011,Free,85% (72%),"1,989,239 ±41,700",25:36 (05:46)
36,Spiral Knights,6/14/2011,Free,85% (64%),"1,642,643 ±37,921",32:20 (01:47)
76,Elsword,7/2/2014,Free,85% (N/A),"612,534 ±23,206",23:33 (01:41)
133,Robocraft,7/8/2014,Free,85% (N/A),"6,931,687 ±77,031",17:20 (02:18)
112,Infinity Wars - Animated Trading Card Game,9/5/2014,Free,84% (N/A),"436,010 ±19,586",11:18 (01:18)
151,Transformice,1/30/2015,Free,83% (N/A),"890,687 ±27,967",07:13 (00:36)
153,Aura Kingdom,7/1/2014,Free,83% (N/A),"1,261,941 ±33,264",11:58 (01:12)
2,The Lord of the Rings Online™,6/6/2012,Free,82% (86%),"1,178,979 ±32,157",30:05 (01:59)
5,RIFT,3/1/2011,Free,82% (84%),"1,780,682 ±39,471",54:21 (04:35)
16,TERA,5/5/2015,Free,82% (77%),"1,428,786 ±35,382",14:58 (03:30)
22,Neverwinter,12/5/2013,Free,82% (74%),"2,870,477 ±49,999",25:10 (05:23)
100,Hero Siege,1/29/2014,$1.49,82% (N/A),"314,102 ±16,628",08:19 (03:08)
10,Marvel Heroes 2015,6/3/2013,Free,81% (81%),"2,631,962 ±47,901",34:42 (01:35)
15,Ragnarok,10/31/2013,Free,81% (79%),"284,144 ±15,816",14:48 (00:21)
19,WAKFU,9/18/2014,Free,81% (76%),"683,974 ±24,518",17:38 (01:43)
86,Puzzle Pirates,8/31/2011,Free,81% (N/A),"202,795 ±13,364",28:46 (01:16)
8,Realm of the Mad God,2/20/2012,Free,80% (82%),"1,796,814 ±39,648",19:41 (01:33)
11,Elite: Dangerous,4/2/2015,$53.99,80% (80%),"153,479 ±11,627",46:03 (17:58)
17,Vindictus,6/22/2012,Free,79% (76%),"585,111 ±22,682",43:11 (02:34)
18,Star Trek Online,1/31/2012,Free,79% (76%),"998,307 ±29,602",80:15 (07:23)
27,Champions Online: Free For All,6/14/2011,Free,79% (72%),"429,558 ±19,441",45:56 (04:39)
37,Defiance,6/4/2014,Free,79% (64%),"2,307,950 ±44,886",19:08 (03:08)
47,Audition Online,6/3/2015,Free,79% (N/A),"48,164 ±6,515",01:54 (00:21)
71,DayZ,12/16/2013,$29.74,79% (N/A),"3,242,192 ±53,097",58:55 (18:50)
130,Mabinogi,12/6/2012,Free,79% (N/A),"283,453 ±15,797",82:47 (01:17)
138,C9,9/13/2012,Free,79% (N/A),"350,744 ±17,570",08:10 (00:20)
6,EverQuest II,12/7/2011,Free,77% (83%),"312,489 ±16,585",33:35 (02:47)
31,Global Agenda,6/14/2011,Free,77% (70%),"391,303 ±18,556",63:54 (10:07)
118,Dungeons & Dragons Online�,6/25/2012,Free,77% (N/A),"358,579 ±17,765",30:52 (01:16)
136,Amazing World,8/7/2014,Free,77% (N/A),"356,505 ±17,713",02:09 (00:26)
23,Block N Load Beta,4/30/2015,$5.09,76% (74%),"39,176 ±5,875",25:13 (05:19)
61,Survival: Postapocalypse Now,4/16/2015,$4.49,76% (N/A),"58,073 ±7,153",07:33 (02:10)
85,The Elder Scrolls Online: Tamriel Unlimited,3/17/2015,$59.99,76% (N/A),"196,112 ±13,142",52:20 (17:27)
91,Happy Wars,7/23/2014,Free,76% (N/A),"1,141,416 ±31,643",04:37 (00:48)
105,Eldevin,11/5/2014,Free,76% (N/A),"227,684 ±14,159",06:05 (00:25)
139,Grand Chase,7/17/2014,Free,76% (N/A),"421,722 ±19,263",08:01 (00:25)
147,MicroVolts Surge,7/5/2012,Free,76% (N/A),"392,916 ±18,594",13:39 (01:36)
32,Forsaken World,6/14/2011,Free,75% (69%),"204,409 ±13,417",84:16 (02:47)
38,Dragon's Prophet (EU),9/18/2013,Free,75% (63%),"129,513 ±10,681",22:08 (02:02)
156,FreeStyle2: Street Basketball,4/1/2015,Free,74% (N/A),"1,680,437 ±38,352",09:54 (01:38)
30,The Crew,12/1/2014,$35.99,73% (71%),"176,755 ±12,477",39:52 (23:13)
117,The Repopulation,12/22/2014,$14.99,73% (N/A),"36,872 ±5,700",13:47 (04:24)
40,Firefall,7/29/2014,Free,72% (60%),"2,305,876 ±44,866",12:07 (01:25)
