#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
27,Crypt of the NecroDancer,4/23/2015,$9.89,98% (87%),"211,322 ±13,642",11:57 (05:08)
109,LISA,12/15/2014,$4.99,98% (78%),"21,662 ±4,369",07:15 (05:53)
383,SanctuaryRPG: Black Edition,2/13/2015,$5.35,98% (N/A),"32,263 ±5,332",04:04 (03:01)
576,Nuclear Throne,10/11/2013,$12.99,98% (N/A),"126,286 ±10,547",17:08 (04:13)
602,Crawl,8/6/2014,$9.99,98% (N/A),"35,028 ±5,556",04:35 (02:00)
4,Mass Effect 2,1/26/2010,$9.99,97% (94%),"1,328,080 ±34,120",41:43 (27:58)
17,Borderlands 2,9/17/2012,$4.99,97% (89%),"5,025,410 ±65,856",63:11 (27:03)
31,Bastion,8/16/2011,$7.49,97% (86%),"1,979,560 ±41,599",05:56 (03:04)
52,Terraria,5/16/2011,$4.99,97% (83%),"5,949,511 ±71,515",60:16 (18:16)
57,Recettear: An Item Shop's Tale,9/10/2010,$9.99,97% (82%),"409,278 ±18,977",12:40 (06:45)
65,To the Moon,9/7/2012,$2.49,97% (81%),"794,359 ±26,417",02:50 (01:51)
106,Mount & Blade: Warband,3/31/2010,$3.99,97% (78%),"1,824,468 ±39,949",95:12 (30:28)
693,Choice of Robots,12/19/2014,$2.99,97% (N/A),"17,284 ±3,903",08:51 (04:02)
739,Epic Battle Fantasy 4,2/25/2014,$3.59,97% (N/A),"51,621 ±6,744",17:51 (09:22)
780,South Park™: The Stick of Truth™,3/3/2014,$23.99,97% (N/A),"1,117,449 ±31,311",16:16 (13:21)
900,Defender's Quest: Valley of the Forgotten,10/30/2012,$4.94,97% (N/A),"168,919 ±12,197",14:33 (06:31)
41,Fallout: New Vegas,10/19/2010,$4.99,96% (84%),"3,560,212 ±55,603",59:08 (21:08)
43,The Binding of Isaac,9/28/2011,$4.99,96% (84%),"2,627,123 ±47,858",33:16 (06:51)
48,Transistor,5/20/2014,$4.99,96% (83%),"531,186 ±21,614",05:10 (03:10)
129,Chroma Squad,4/30/2015,$13.49,96% (76%),"28,345 ±4,998",07:42 (04:56)
131,Ys Origin,5/31/2012,$9.99,96% (76%),"209,248 ±13,575",08:57 (03:27)
178,Hyperdimension Neptunia Re;Birth1,1/29/2015,$14.99,96% (72%),"84,575 ±8,632",21:14 (09:13)
304,One Way Heroics,2/28/2014,$0.87,96% (N/A),"257,642 ±15,061",04:20 (01:25)
359,Dust: An Elysian Tail,5/24/2013,$5.09,96% (N/A),"963,278 ±29,080",06:56 (02:56)
819,Castle Crashers,9/26/2012,$1.49,96% (N/A),"2,260,478 ±44,427",07:57 (03:38)
1,BioShock,8/21/2007,$6.79,95% (96%),"2,658,694 ±48,141",07:28 (02:46)
2,The Elder Scrolls IV: Oblivion,6/16/2009,$9.99,95% (94%),"1,381,314 ±34,793",25:59 (07:09)
7,System Shock 2,5/10/2013,$2.49,95% (92%),"588,568 ±22,749",03:47 (01:16)
22,Sid Meier's Pirates!,7/11/2005,$2.49,95% (88%),"486,479 ±20,686",10:10 (04:29)
23,Torchlight II,9/20/2012,$7.99,95% (88%),"2,900,205 ±50,255",24:51 (11:34)
36,Rogue Legacy,6/27/2013,$5.09,95% (85%),"1,052,923 ±30,398",14:56 (08:06)
55,Legend of Grimrock,4/11/2012,$5.09,95% (82%),"883,312 ±27,852",09:21 (03:10)
59,S.T.A.L.K.E.R.: Shadow of Chernobyl,3/20/2007,$9.99,95% (82%),"848,284 ±27,296",11:42 (02:12)
82,S.T.A.L.K.E.R.: Call of Pripyat,2/11/2010,$9.99,95% (80%),"642,723 ±23,770",21:04 (04:25)
89,Dungeons of Dredmor,7/13/2011,$2.49,95% (79%),"543,169 ±21,856",17:27 (03:54)
123,Risk of Rain,11/8/2013,$3.99,95% (77%),"1,108,692 ±31,189",14:56 (05:21)
174,Ys: The Oath in Felghana,3/19/2012,$7.49,95% (73%),"131,817 ±10,776",07:12 (02:39)
180,Dark Messiah of Might & Magic Single Player,10/25/2006,$5.99,95% (72%),"862,342 ±27,520",07:32 (02:35)
186,Dark Messiah of Might & Magic Multi-Player,10/25/2006,$5.99,95% (72%),"862,342 ±27,520",04:15 (00:31)
217,Unepic,7/25/2014,$6.49,95% (68%),"328,851 ±17,013",11:47 (04:17)
229,Long Live The Queen,11/8/2013,$1.99,95% (67%),"286,679 ±15,886",05:03 (02:54)
319,Hyperdimension Neptunia Re;Birth2 Sisters Generation,5/29/2015,$14.99,95% (N/A),"38,946 ±5,858",09:43 (03:42)
487,HuniePop,1/19/2015,$6.69,95% (N/A),"129,513 ±10,681",11:48 (09:21)
712,Tales of Maj'Eyal,12/12/2013,$3.49,95% (N/A),"97,941 ±9,289",20:48 (03:11)
724,Darkwood,7/24/2014,$14.99,95% (N/A),"35,950 ±5,628",05:32 (01:43)
12,Dragon Age: Origins - Ultimate Edition,10/26/2010,$14.99,94% (91%),"959,591 ±29,025",34:48 (12:40)
18,The Elder Scrolls III: Morrowind,6/16/2009,$9.99,94% (89%),"851,510 ±27,347",13:18 (01:56)
19,Mass Effect,12/19/2008,$9.99,94% (89%),"1,186,353 ±32,257",24:27 (13:05)
25,Shadowrun: Dragonfall - Director's Cut,9/18/2014,$4.49,94% (87%),"397,986 ±18,714",15:14 (03:33)
29,Path of Exile,10/23/2013,Free,94% (86%),"3,332,067 ±53,817",42:08 (04:38)
30,Fallout 2,8/19/2009,$4.99,94% (86%),"525,425 ±21,497",08:09 (00:42)
51,Torchlight,10/27/2009,$5.99,94% (83%),"1,351,355 ±34,416",16:56 (07:29)
66,Borderlands,10/26/2009,$4.99,94% (81%),"2,300,807 ±44,817",33:02 (15:21)
94,King's Bounty: The Legend,5/1/2009,$1.39,94% (79%),"334,382 ±17,156",19:41 (03:12)
118,NEO Scavenger,12/15/2014,$9.89,94% (77%),"109,463 ±9,820",14:53 (05:36)
121,Child of Light,4/29/2014,$3.74,94% (77%),"382,546 ±18,348",09:36 (03:19)
130,Might & Magic: Clash of Heroes,9/22/2011,$5.99,94% (76%),"203,948 ±13,402",20:37 (07:04)
164,Magicka,1/25/2011,$4.99,94% (74%),"3,347,277 ±53,938",10:22 (04:44)
222,Space Rangers HD: A War Apart,10/17/2013,$3.74,94% (68%),"103,702 ±9,558",33:46 (09:25)
318,FINAL FANTASY VII,7/4/2013,$8.39,94% (N/A),"822,474 ±26,879",22:59 (03:39)
427,Sunrider: Mask of Arcadius,7/9/2014,Free,94% (N/A),"318,251 ±16,737",04:14 (00:59)
560,Dig or Die,3/4/2015,$2.99,94% (N/A),"29,958 ±5,138",03:14 (01:41)
839,Tabletop Simulator,6/5/2015,$13.39,94% (N/A),"278,613 ±15,662",09:14 (03:13)
862,Town of Salem,12/15/2014,$2.49,94% (N/A),"89,875 ±8,898",20:15 (09:15)
11,Dragon Age: Origins,11/5/2009,$9.99,93% (91%),"697,570 ±24,760",57:16 (25:45)
20,Fallout,8/19/2009,$4.99,93% (89%),"506,758 ±21,112",04:36 (00:46)
38,The Legend of Heroes: Trails in the Sky,7/29/2014,$13.99,93% (85%),"103,933 ±9,569",18:17 (06:29)
47,Fable - The Lost Chapters,12/19/2011,$9.99,93% (83%),"639,958 ±23,719",10:40 (03:13)
61,Crusader Kings II,2/14/2012,$19.99,93% (82%),"1,061,450 ±30,520",91:01 (10:30)
68,Dungeon Defenders,10/18/2011,$7.49,93% (81%),"1,850,048 ±40,226",43:10 (12:15)
71,Overlord,11/12/2009,$1.24,93% (81%),"895,065 ±28,036",06:11 (01:30)
97,PAYDAY 2,8/13/2013,$8.99,93% (79%),"4,331,757 ±61,232",47:52 (17:40)
101,Cthulhu Saves the World,7/13/2011,$0.44,93% (78%),"537,638 ±21,744",02:46 (01:17)
102,Hand Of Fate,2/17/2015,$16.74,93% (78%),"116,607 ±10,135",06:23 (03:19)
155,Space Pirates and Zombies,8/15/2011,$2.49,93% (74%),"606,312 ±23,088",14:50 (02:55)
396,Project Zomboid,11/8/2013,$11.99,93% (N/A),"491,088 ±20,784",12:51 (04:33)
409,Runestone Keeper,3/23/2015,$7.49,93% (N/A),"29,267 ±5,078",19:36 (11:02)
412,Valkyria Chronicles™,11/11/2014,$9.99,93% (N/A),"414,578 ±19,099",13:53 (04:58)
694,Craft The World,11/24/2014,$12.72,93% (N/A),"139,422 ±11,082",36:55 (15:58)
871,Legend of Grimrock 2,10/15/2014,$11.99,93% (N/A),"129,282 ±10,672",19:50 (07:47)
908,Grim Dawn,11/5/2013,$16.24,93% (N/A),"146,105 ±11,344",26:04 (08:03)
6,The Witcher 3: Wild Hunt,5/18/2015,$53.99,92% (93%),"610,691 ±23,171",41:44 (30:19)
81,Titan Quest: Immortal Throne,7/17/2007,$7.49,92% (80%),"932,398 ±28,612",27:37 (06:59)
87,FATE,12/12/2013,$7.99,92% (80%),"76,279 ±8,198",06:18 (02:19)
127,Ziggurat,10/23/2014,$7.49,92% (76%),"102,089 ±9,484",04:41 (02:15)
309,Delver,9/6/2013,$7.99,92% (N/A),"120,064 ±10,284",02:07 (01:02)
530,Magicite,6/9/2014,$6.69,92% (N/A),"269,626 ±15,407",11:05 (05:48)
570,Clicker Heroes,5/13/2015,Free,92% (N/A),"1,258,945 ±33,224",29:39 (06:46)
698,Bardbarian,4/1/2014,$3.99,92% (N/A),"87,110 ±8,761",04:49 (01:46)
789,Shoot Many Robots,4/6/2012,$5.99,92% (N/A),"102,089 ±9,484",09:30 (05:55)
796,Costume Quest,10/14/2011,$3.39,92% (N/A),"399,369 ±18,746",04:58 (02:04)
814,Tree of Life: Beginning of a Journey,5/27/2015,$19.99,92% (N/A),"30,880 ±5,216",28:45 (14:11)
8,Deus Ex: Human Revolution - Director's Cut,10/25/2013,$9.99,91% (91%),"990,702 ±29,489",15:39 (04:57)
16,Pillars of Eternity,3/26/2015,$33.74,91% (90%),"389,229 ±18,507",33:49 (19:18)
26,Divinity: Original Sin,6/30/2014,$29.99,91% (87%),"824,548 ±26,912",35:18 (15:17)
98,Dungeon of the Endless,10/27/2014,$8.70,91% (79%),"272,161 ±15,479",11:33 (04:55)
149,Dying Light,1/27/2015,$53.99,91% (75%),"676,369 ±24,382",29:39 (23:40)
185,Mount & Blade,11/3/2008,$1.99,91% (72%),"801,272 ±26,531",19:05 (02:46)
642,FINAL FANTASY VIII,12/5/2013,$8.39,91% (N/A),"386,924 ±18,452",27:00 (05:16)
647,Starbound,12/4/2013,$10.04,91% (N/A),"1,868,253 ±40,422",45:20 (23:44)
5,Star Wars: Knights of the Old Republic,9/5/2009,$9.99,90% (93%),"1,787,135 ±39,542",12:56 (02:47)
50,FINAL FANTASY XIV: A Realm Reborn,2/18/2014,Free,90% (83%),"252,573 ±14,912",152:54 (35:59)
53,Desktop Dungeons,11/7/2013,$14.99,90% (82%),"75,818 ±8,173",18:16 (05:41)
67,Divine Divinity,7/5/2012,$1.50,90% (81%),"342,217 ±17,355",10:31 (00:39)
76,Darksiders II,8/13/2012,$14.99,90% (81%),"1,451,601 ±35,662",15:23 (05:35)
88,The Banner Saga,1/14/2014,$9.99,90% (80%),"389,920 ±18,524",08:47 (04:41)
100,Baldur's Gate: Enhanced Edition,1/16/2013,$9.99,90% (78%),"443,154 ±19,745",21:07 (03:36)
135,Shadowrun Returns,7/25/2013,$2.99,90% (76%),"810,260 ±26,679",15:27 (07:05)
184,Hammerwatch,8/12/2013,$3.39,90% (72%),"731,677 ±25,356",05:32 (02:20)
522,Darkest Dungeon,2/3/2015,$17.99,90% (N/A),"376,785 ±18,209",14:21 (08:09)
3,The Elder Scrolls V: Skyrim,11/10/2011,$9.99,89% (94%),"8,908,942 ±86,959",112:41 (47:46)
21,The Witcher 2: Assassins of Kings Enhanced Edition,4/16/2012,$2.99,89% (88%),"3,149,321 ±52,341",14:37 (04:34)
39,Star Wars: Knights of the Old Republic II,8/23/2012,$9.99,89% (85%),"1,230,369 ±32,847",16:18 (04:54)
69,Lone Survivor: The Director's Cut,4/23/2012,$9.89,89% (81%),"579,811 ±22,579",01:05 (00:21)
99,State of Decay,11/5/2013,Free,89% (79%),"1,026,882 ±30,021",17:21 (06:17)
120,Eldritch,10/21/2013,$1.94,89% (77%),"177,216 ±12,493",01:53 (01:14)
132,The Ship,7/11/2006,$2.49,89% (76%),"985,632 ±29,414",03:54 (01:29)
228,"10,000,000",1/15/2013,$4.99,89% (67%),"95,867 ±9,190",07:40 (05:09)
362,Hero of the Kingdom,11/14/2013,$2.99,89% (N/A),"71,670 ±7,946",03:25 (02:23)
508,From The Depths,8/7/2014,$7.99,89% (N/A),"32,954 ±5,389",16:18 (03:46)
678,Lili: Child of Geos,5/9/2014,$1.99,89% (N/A),"44,477 ±6,260",02:07 (01:13)
849,Full Mojo Rampage,5/8/2014,$6.49,89% (N/A),"261,330 ±15,169",03:20 (01:21)
858,Creativerse,8/12/2014,$13.99,89% (N/A),"41,250 ±6,029",12:29 (05:18)
924,Magical Diary,5/31/2012,$7.49,89% (N/A),"75,126 ±8,136",06:59 (04:00)
