#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
51,Euro Truck Simulator 2,1/16/2013,$7.81,98% (79%),"1,818,706 ±39,887",48:30 (14:16)
700,Creeper World 3: Arc Eternal,3/27/2014,$1.49,98% (N/A),"70,287 ±7,869",24:27 (11:46)
22,FTL: Faster Than Light,9/14/2012,$4.99,97% (84%),"2,259,556 ±44,418",25:32 (09:48)
33,Door Kickers,10/20/2014,$7.99,97% (82%),"78,122 ±8,296",09:38 (04:50)
52,Don't Starve,,$8.99,97% (79%),"2,710,085 ±48,599",18:18 (05:53)
198,Gaokao.Love.100Days,5/30/2015,$8.99,97% (N/A),"14,518 ±3,577",06:26 (05:24)
438,Mini Metro,8/11/2014,$6.29,97% (N/A),"79,044 ±8,345",08:04 (03:34)
478,Besiege,1/28/2015,$5.94,97% (N/A),"960,974 ±29,045",07:42 (03:25)
615,Mount Your Friends,7/29/2014,$1.99,97% (N/A),"279,996 ±15,700",02:57 (01:27)
755,Don't Starve Together Beta,12/15/2014,$11.99,97% (N/A),"3,113,832 ±52,049",12:46 (05:27)
24,This War of Mine,11/14/2014,$9.99,96% (83%),"528,190 ±21,553",13:19 (06:38)
120,Game Dev Tycoon,8/29/2013,$4.99,96% (68%),"866,029 ±27,579",11:07 (06:51)
195,Garry's Mod,11/29/2006,$7.49,96% (N/A),"8,993,287 ±87,354",88:39 (16:50)
512,RollerCoaster Tycoon: Deluxe,5/21/2014,$1.49,96% (N/A),"110,846 ±9,882",13:19 (04:18)
576,Car Mechanic Simulator 2015,4/23/2015,$15.99,96% (N/A),"48,394 ±6,530",14:10 (09:11)
11,Cities: Skylines,3/10/2015,$19.99,95% (86%),"1,213,316 ±32,620",22:23 (12:10)
95,Five Nights at Freddy's 3,3/2/2015,$6.39,95% (71%),"188,047 ±12,869",03:23 (01:32)
121,Long Live The Queen,11/8/2013,$1.99,95% (67%),"286,679 ±15,886",05:03 (02:54)
140,Guns of Icarus Online,10/29/2012,$3.74,95% (64%),"1,100,857 ±31,079",08:46 (03:48)
390,Plague Inc: Evolved,2/20/2014,$11.24,95% (N/A),"544,321 ±21,879",10:34 (05:52)
