#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
14,Lethal League,8/27/2014,$9.37,98% (82%),"149,562 ±11,478",05:17 (02:54)
82,Robot Roller-Derby Disco Dodgeball,2/19/2015,$7.49,98% (N/A),"41,711 ±6,063",03:45 (02:14)
163,Mount Your Friends,7/29/2014,$1.99,97% (N/A),"279,996 ±15,700",02:57 (01:27)
121,SpeedRunners,8/26/2013,$9.74,96% (N/A),"683,974 ±24,518",08:34 (03:33)
22,Sonic & All-Stars Racing Transformed,1/31/2013,$9.99,95% (79%),"600,090 ±22,970",08:16 (03:52)
5,DiRT 3 Complete Edition,4/1/2015,$23.99,92% (86%),"992,776 ±29,520",04:40 (01:24)
16,TrackMania² Canyon,2/27/2013,$11.99,91% (81%),"122,369 ±10,383",10:07 (02:40)
18,F1 2012,9/17/2012,$9.99,91% (80%),"305,806 ±16,407",46:27 (10:37)
31,Gas Guzzlers Extreme,10/8/2013,$4.99,91% (73%),"112,229 ±9,943",04:01 (01:42)
78,Pool Nation,10/18/2013,$0.99,91% (N/A),"205,330 ±13,447",04:39 (02:22)
139,TrackMania² Stadium,6/20/2013,$5.99,90% (N/A),"221,001 ±13,950",12:28 (03:18)
7,Assetto Corsa,12/19/2014,$34.99,89% (85%),"224,458 ±14,059",35:47 (08:42)
17,Nidhogg,1/13/2014,$2.99,87% (81%),"371,945 ±18,092",02:29 (01:16)
92,Blood Bowl: Chaos Edition,10/11/2012,$14.99,87% (N/A),"182,977 ±12,694",47:05 (11:21)
33,Poker Night at the Inventory,11/22/2010,$1.24,86% (71%),"806,342 ±26,615",04:45 (03:04)
26,F1 2013,10/3/2013,$12.49,85% (77%),"240,820 ±14,562",34:27 (08:55)
29,Poker Night 2,4/26/2013,$1.24,84% (75%),"494,775 ±20,862",06:21 (03:20)
13,Monday Night Combat,1/24/2011,$4.99,82% (82%),"274,465 ±15,545",10:38 (03:20)
66,Next Car Game: Wreckfest,1/14/2014,$20.09,82% (N/A),"261,560 ±15,175",05:06 (01:33)
102,Zero Gear,1/12/2010,$4.99,82% (N/A),"114,303 ±10,035",03:11 (00:56)
19,GRID 2,5/27/2013,$8.99,81% (80%),"748,039 ±25,638",13:59 (04:35)
24,OlliOlli,7/22/2014,$3.24,81% (78%),"159,471 ±11,852",01:46 (00:24)
10,Project CARS,5/6/2015,$37.49,80% (83%),"170,072 ±12,239",16:49 (07:32)
32,DiRT Showdown,5/23/2012,$4.49,80% (72%),"459,747 ±20,111",05:51 (01:57)
43,Urban Trial Freestyle,9/18/2013,$0.99,79% (58%),"152,097 ±11,575",02:26 (01:09)
146,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,11/23/2011,$9.99,79% (N/A),"264,095 ±15,248",00:58 (00:17)
25,GRID Autosport,6/26/2014,$19.99,77% (78%),"280,687 ±15,720",14:23 (03:51)
30,Blood Bowl: Legendary Edition,10/28/2010,$9.99,76% (73%),"476,108 ±20,465",17:49 (01:51)
20,Football Manager 2015,11/1/2014,$16.99,74% (80%),"7,974,470 ±82,438",236:34 (111:15)
42,F1 2014,10/16/2014,$14.99,74% (61%),"87,801 ±8,795",33:47 (10:40)
54,FreeStyle2: Street Basketball,4/1/2015,Free,74% (N/A),"1,680,437 ±38,352",09:54 (01:38)
128,NBA 2K15,10/6/2014,$29.99,73% (N/A),"191,503 ±12,987",91:47 (45:16)
136,ACE - Arena: Cyber Evolution,8/18/2014,Free,73% (N/A),"330,004 ±17,043",00:37 (00:16)
27,Super Monday Night Combat,4/19/2012,Free,72% (76%),"838,605 ±27,140",11:38 (00:45)
34,WWE 2K15,4/28/2015,$33.49,71% (70%),"23,275 ±4,529",24:27 (15:28)
55,SNOW,3/2/2014,$9.99,71% (N/A),"52,542 ±6,804",10:17 (02:33)
12,Pro Evolution Soccer 2015,11/13/2014,$17.99,68% (82%),"124,904 ±10,489",81:14 (29:51)
111,Epigenesis,8/1/2014,$1.24,66% (N/A),"50,699 ±6,684",01:22 (01:11)
104,Tony Hawk's Pro Skater HD,9/18/2012,$4.89,65% (N/A),"99,554 ±9,365",05:23 (01:45)
35,The Golf Club,8/19/2014,$20.09,64% (70%),"25,349 ±4,726",24:15 (03:32)
61,Copa Petrobras de Marcas,4/8/2015,Free,57% (N/A),"378,859 ±18,259",00:29 (00:10)
166,Football Superstars,11/16/2012,Free,55% (N/A),"288,523 ±15,937",05:31 (00:29)
133,RaceRoom Racing Experience,2/12/2013,Free,54% (N/A),"1,638,034 ±37,868",03:43 (00:26)
135,theHunter,6/3/2014,Free,39% (N/A),"2,481,940 ±46,531",04:49 (00:38)
1,Out of the Park Baseball 16,3/23/2015,$29.99,N/A (93%),"6,222 ±2,341",60:25 (65:59)
2,NBA 2K13,10/30/2012,$14.99,N/A (90%),"103,011 ±9,526",83:05 (27:34)
3,Out of the Park Baseball 15,4/24/2014,$19.99,N/A (89%),"11,292 ±3,154",68:35 (26:37)
4,NBA 2K12,10/4/2011,$9.99,N/A (86%),"49,086 ±6,577",86:12 (26:01)
6,DiRT 3,5/23/2011,$24.99,N/A (86%),"969,731 ±29,177",08:04 (02:41)
8,F1 2010,9/21/2010,$9.99,N/A (84%),"69,826 ±7,844",44:15 (13:55)
9,GT Legends,11/28/2012,$7.99,N/A (84%),"80,888 ±8,442",01:13 (00:01)
11,F1 2011,9/19/2011,$7.49,N/A (83%),"55,999 ±7,024",37:44 (11:11)
15,AaAaAA!!! - A Reckless Disregard for Gravity,9/3/2009,$9.99,N/A (81%),"169,841 ±12,231",01:39 (00:41)
21,iRacing,1/12/2015,$2.49,N/A (79%),"8,988 ±2,814",14:23 (04:34)
23,Frozen Cortex,2/19/2015,$16.74,N/A (78%),"14,518 ±3,577",06:21 (04:59)
28,MotoGP™14,6/20/2014,$29.99,N/A (76%),"13,136 ±3,402",10:36 (03:31)
36,Basketball Pro Management 2015,11/19/2014,$6.24,N/A (69%),"2,074 ±1,352",09:07 (02:36)
37,Qvadriga,6/13/2014,$9.99,N/A (69%),"8,757 ±2,778",75:24 (02:25)
38,RIDE: Game,3/27/2015,$39.99,N/A (67%),"11,983 ±3,249",16:21 (09:04)
39,Virtua Tennis 4,6/24/2011,$14.99,N/A (66%),"65,678 ±7,607",13:40 (03:01)
40,Vertiginous Golf,5/6/2015,$9.99,N/A (63%),"14,518 ±3,577",01:04 (00:42)
41,Chess 2: The Sequel,8/19/2014,$4,N/A (62%),"10,831 ±3,089",48:05 (00:24)
