#,Game,Release date,Price,Userscore (Metascore),Owners,Playtime (Median)
45,Orcs Must Die!,10/11/2011,$4.99,98% (83%),"1,278,994 ±33,486",07:25 (03:29)
829,SanctuaryRPG: Black Edition,2/13/2015,$5.35,98% (N/A),"32,263 ±5,332",04:04 (03:01)
1005,Creeper World 3: Arc Eternal,3/27/2014,$1.49,98% (N/A),"70,287 ±7,869",24:27 (11:46)
7,Sid Meier's Civilization V,9/21/2010,$7.49,97% (90%),"7,496,057 ±80,009",154:08 (38:40)
22,Plants vs. Zombies: Game of the Year,5/5/2009,$2.49,97% (87%),"999,689 ±29,622",37:07 (09:32)
29,Sid Meier's Civilization IV: Beyond the Sword,7/24/2007,$2.49,97% (86%),"961,435 ±29,052",42:01 (07:03)
40,FTL: Faster Than Light,9/14/2012,$4.99,97% (84%),"2,259,556 ±44,418",25:32 (09:48)
51,Gunpoint,6/3/2013,$4.99,97% (83%),"611,843 ±23,193",03:22 (02:37)
65,Door Kickers,10/20/2014,$7.99,97% (82%),"78,122 ±8,296",09:38 (04:50)
81,Supreme Commander: Forged Alliance,9/28/2011,$7.49,97% (81%),"768,549 ±25,986",27:46 (07:02)
90,Defense Grid: The Awakening,12/8/2008,$9.99,97% (81%),"561,836 ±22,227",19:06 (04:55)
197,Evil Genius,6/22/2009,$3.39,97% (75%),"163,389 ±11,996",15:20 (05:38)
492,Mini Metro,8/11/2014,$6.29,97% (N/A),"79,044 ±8,345",08:04 (03:34)
709,Defender's Quest: Valley of the Forgotten,10/30/2012,$4.94,97% (N/A),"168,919 ±12,197",14:33 (06:31)
3,Company of Heroes,7/17/2007,$4.99,96% (93%),"2,454,286 ±46,273",14:32 (02:35)
18,"Warhammer 40,000: Dawn of War - Dark Crusade",8/7/2007,$6.49,96% (87%),"606,773 ±23,097",20:30 (04:14)
47,Orcs Must Die! 2,7/30/2012,$7.49,96% (83%),"1,845,669 ±40,179",12:43 (05:51)
67,Bejeweled 3,12/7/2010,$2.49,96% (82%),"350,974 ±17,576",41:50 (04:49)
173,Chroma Squad,4/30/2015,$13.49,96% (76%),"28,345 ±4,998",07:42 (04:56)
255,Hyperdimension Neptunia Re;Birth1,1/29/2015,$14.99,96% (72%),"84,575 ±8,632",21:14 (09:13)
323,Game Dev Tycoon,8/29/2013,$4.99,96% (68%),"866,029 ±27,579",11:07 (06:51)
825,RollerCoaster Tycoon: Deluxe,5/21/2014,$1.49,96% (N/A),"110,846 ±9,882",13:19 (04:18)
991,Kingdom Rush,1/6/2014,$4.99,96% (N/A),"215,470 ±13,775",11:43 (05:45)
1030,X-COM: UFO Defense,9/4/2008,$2.49,96% (N/A),"566,905 ±22,327",16:30 (02:05)
1041,Worms Armageddon,3/19/2013,$3.74,96% (N/A),"465,277 ±20,231",04:51 (01:08)
1091,Hexcells,2/19/2014,$0.89,96% (N/A),"60,839 ±7,322",03:02 (02:18)
4,Rome: Total War,8/28/2007,$4.99,95% (92%),"1,190,041 ±32,307",36:08 (06:54)
9,Braid,4/10/2009,$2.99,95% (90%),"1,125,515 ±31,423",03:43 (01:34)
13,XCOM: Enemy Unknown,10/8/2012,$14.99,95% (89%),"2,679,896 ±48,330",48:09 (23:19)
17,Medieval II: Total War,11/27/2007,$9.99,95% (88%),"1,044,857 ±30,281",54:42 (09:21)
30,Cities: Skylines,3/10/2015,$19.99,95% (86%),"1,213,316 ±32,620",22:23 (12:10)
190,Infested Planet,3/6/2014,$4.94,95% (75%),"55,538 ±6,995",10:28 (05:04)
228,"Warhammer 40,000: Dawn of War - Soulstorm",3/5/2008,$6.49,95% (73%),"595,020 ±22,873",27:36 (08:51)
285,Company of Heroes: Tales of Valor,4/9/2009,$9.99,95% (70%),"1,761,325 ±39,257",25:40 (03:14)
331,Long Live The Queen,11/8/2013,$1.99,95% (67%),"286,679 ±15,886",05:03 (02:54)
622,The Long Dark,9/22/2014,$13.39,95% (N/A),"315,946 ±16,677",08:47 (03:06)
650,Plague Inc: Evolved,2/20/2014,$11.24,95% (N/A),"544,321 ±21,879",10:34 (05:52)
728,"Invisible, Inc.",5/12/2015,$15.99,95% (N/A),"93,332 ±9,068",10:25 (03:57)
760,"Cook, Serve, Delicious!",10/8/2013,$2.49,95% (N/A),"188,508 ±12,885",07:41 (02:52)
842,Hyperdimension Neptunia Re;Birth2 Sisters Generation,5/29/2015,$14.99,95% (N/A),"38,946 ±5,858",09:43 (03:42)
1028,HuniePop,1/19/2015,$6.69,95% (N/A),"129,513 ±10,681",11:48 (09:21)
21,Shadowrun: Dragonfall - Director's Cut,9/18/2014,$4.49,94% (87%),"397,986 ±18,714",15:14 (03:33)
28,"Warhammer 40,000: Dawn of War - Game of the Year Edition",8/7/2007,$6.49,94% (86%),"1,148,790 ±31,745",04:42 (00:56)
66,Sins of a Solar Empire�: Rebellion,6/12/2012,$19.99,94% (82%),"650,559 ±23,914",36:33 (10:31)
71,Napoleon: Total War,2/23/2010,$7.49,94% (81%),"1,869,636 ±40,437",62:51 (13:29)
114,King's Bounty: The Legend,5/1/2009,$1.39,94% (79%),"334,382 ±17,156",19:41 (03:12)
138,Stronghold Crusader HD,10/21/2013,$2.49,94% (78%),"527,499 ±21,539",10:49 (01:57)
150,NEO Scavenger,12/15/2014,$9.89,94% (77%),"109,463 ±9,820",14:53 (05:36)
175,Might & Magic: Clash of Heroes,9/22/2011,$5.99,94% (76%),"203,948 ±13,402",20:37 (07:04)
236,The Escapists,2/13/2015,$15.29,94% (73%),"408,587 ±18,961",11:08 (05:44)
306,Age of Empires II: HD Edition,4/9/2013,$6.79,94% (68%),"2,181,895 ±43,655",30:07 (07:44)
309,Space Rangers HD: A War Apart,10/17/2013,$3.74,94% (68%),"103,702 ±9,558",33:46 (09:25)
466,Space Engineers,10/23/2013,$16.24,94% (N/A),"1,278,764 ±33,483",37:42 (09:43)
550,Dig or Die,3/4/2015,$2.99,94% (N/A),"29,958 ±5,138",03:14 (01:41)
590,Tabletop Simulator,6/5/2015,$13.39,94% (N/A),"278,613 ±15,662",09:14 (03:13)
866,Sigils of Elohim,10/13/2014,Free,94% (N/A),"168,689 ±12,189",01:12 (00:21)
870,Ticket to Ride,5/24/2012,$4.99,94% (N/A),"247,733 ±14,769",24:45 (02:02)
931,Total War: SHOGUN 2,3/15/2011,$14.99,94% (N/A),"2,402,204 ±45,785",76:22 (23:36)
1019,Town of Salem,12/15/2014,$2.49,94% (N/A),"89,875 ±8,898",20:15 (09:15)
1072,"Warhammer� 40,000™: Dawn of War� II – Retribution™",2/28/2011,$10.19,94% (N/A),"1,459,205 ±35,754",40:44 (12:16)
1175,Prison Architect,,$4.49,94% (N/A),"1,198,106 ±32,416",20:42 (07:58)
1177,Sunrider: Mask of Arcadius,7/9/2014,Free,94% (N/A),"318,251 ±16,737",04:14 (00:59)
1,Sid Meier's Civilization IV,10/25/2006,$4.99,93% (94%),"1,162,156 ±31,928",17:19 (03:58)
6,Dota 2,7/9/2013,Free,93% (90%),"51,136,716 ±188,391",191:51 (06:04)
10,Empire: Total War,3/3/2009,$9.99,93% (90%),"3,129,963 ±52,182",100:37 (23:25)
19,Europa Universalis IV,8/13/2013,$19.99,93% (87%),"671,529 ±24,295",139:04 (25:39)
