Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
nothing,"nothing, can, see, never",0.1159109345,0,true,Negative,"",""
for sensitive bladders,"bladders, sensitive, cause, discreet",0.0857330896,1,true,Positive,"",""
"Comes in many different styles, odor protection","protection, using, types, fit",0.250688137,2,true,Positive,"",""
not sure,"feel, already, good, make",0.1157187525,3,true,Neutral,"",""
na,na,0.0157899496,4,true,Negative,"",""
nothing,"nothing, can, see, never",0.1159109345,5,true,Negative,"",""
n,off-topic,0.0,6,true,Negative,"",""
"it is from a brand I know, the quanity and price is affordable","price, market, good, affordable",0.2151280363,7,true,Positive,"",""
is this a better deal?,"feel, already, good, make",0.1204733863,8,true,Neutral,"",""
odor protection,"protection, odor, combo, comfort",0.058153938,9,true,Positive,"",""
better fit,"feel, already, good, make",0.178383366,10,true,Positive,"",""
none,"none, badly, cardboard, feels",0.032605048,11,true,Negative,"",""
don't know,"love, right, can, long",0.0986575763,12,true,Neutral,"",""
don't have any use for this kind of product,"products, product, two, always",0.1570330268,13,true,Negative,"",""
different types of products,"products, product, two, always",0.1250797021,14,true,Positive,"",""
manage bladder leaks,"provide, provides, protection, information",0.107252467,15,true,Positive,"",""
fits so much better than other pads made for urine leakage.  Price is very good and you can always find coupons for this product so it is even more reasonablly priced.  Great product,"feel, already, good, make",0.5496326727,16,true,Positive,"",""
for sensitvie bladders I like that,"bladders, sensitive, cause, discreet",0.0666014961,17,true,Positive,"",""
ssome kind of perfune and contour fit,"feel, already, good, make",0.2571576906,18,true,Positive,"",""
For sensite bladders and is a well known brand,"brand, store, trusted, always",0.0995968051,19,true,Positive,"",""
nothing,"nothing, can, see, never",0.1159109345,20,true,Negative,"",""
"Comes in liners, pads and underwear","feel, already, good, make",0.2209970903,21,true,Positive,"",""
I don't know.,"love, right, can, long",0.1395228824,22,true,Neutral,"",""
"i like it,  I use it.",off-topic,0.0,23,true,Positive,"",""
It doesn't offer anything other brands offer but I would try each to see how close they fit the promises.,"feel, already, good, make",0.3004542387,24,true,Neutral,"",""
nothing,"nothing, can, see, never",0.1159109345,25,true,Negative,"",""
product is offered in multiple Discreet sizes,"products, product, two, always",0.1557139619,26,true,Positive,"",""
manage bladder leaks,"provide, provides, protection, information",0.107252467,27,true,Positive,"",""
don't know,"love, right, can, long",0.0986575763,28,true,Neutral,"",""
zzzzzzzzzzzzzz,off-topic,0.0,29,"","","",""
available in different sizes,"available, liners, underwear, pads",0.1253869152,30,true,Positive,"",""
Nothing,"nothing, can, see, never",0.1159109345,31,true,Negative,"",""
dk,off-topic,0.0029649511,32,true,Neutral,"",""
none,"none, badly, cardboard, feels",0.032605048,33,true,Negative,"",""
"comes in a variety of products, odor protection","products, product, two, always",0.153601324,34,true,Positive,"",""
its just a kotex,off-topic,0.0,35,true,Negative,"",""
don't know,"love, right, can, long",0.0986575763,36,true,Neutral,"",""
That it has different products in the same package for use.,"products, product, two, always",0.1461510029,37,true,Positive,"",""
nothing,"nothing, can, see, never",0.1159109345,38,true,Negative,"",""
tOO EXPENSIVE,"feel, already, good, make",0.1801196008,39,true,Negative,"",""
i have used always before and know they are good products,"products, product, two, always",0.2305592936,40,true,Positive,"",""
do not use this product,"products, product, two, always",0.0706838979,41,true,Negative,"",""
