Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
rinses clean,"clean, rinses, lather, rinse",0.0352560597,0,true,Positive,"",""
yogurt,"food, honey, vanilla, items",0.1051594109,1,true,Positive,"",""
it has yogurt in it,"food, honey, vanilla, items",0.1051594109,2,true,Positive,"",""
yogurt,"food, honey, vanilla, items",0.1051594109,3,true,Positive,"",""
yogurt vanilla honey,"food, honey, vanilla, items",0.1921656513,4,true,Positive,"",""
yogurt,"food, honey, vanilla, items",0.1051594109,5,true,Positive,"",""
"""protein packed yogurt""","protein, natural, times, ultra-hydrating",0.0581044827,6,true,Positive,"",""
Smell,"keep, skin, combines, softer",0.1344413265,7,true,Positive,"",""
Using yogurt to clean your skin? Don't know about that.,"using, different, foo, hype",0.2636229259,8,true,Negative,"",""
use of yogurt,"food, honey, vanilla, items",0.1487178651,9,true,Positive,"",""
MOTHING,off-topic,0.0,10,true,Negative,"",""
nothing,"mind, comes, nothing, see",0.1169143182,11,true,Negative,"",""
yogurt vanilla,"food, honey, vanilla, items",0.1131811384,12,true,Positive,"",""
it contains yogurt this stops yeast,"contains, yogurt, claim, improve",0.1057890009,13,true,Positive,"",""
nothing,"mind, comes, nothing, see",0.1169143182,14,true,Negative,"",""
nothing,"mind, comes, nothing, see",0.1169143182,15,true,Negative,"",""
the scent,"scent, leaves, packed, shape",0.0754600555,16,true,Positive,"",""
Nothing,"mind, comes, nothing, see",0.1169143182,17,true,Negative,"",""
bottle,"food, honey, vanilla, items",0.1256043838,18,true,Negative,"",""
greek yougart,"greek, dial, yogurt, interest",0.0793159115,19,true,Positive,"",""
the use of yogurt,"food, honey, vanilla, items",0.1487178651,20,true,Positive,"",""
nothing,"mind, comes, nothing, see",0.1169143182,21,true,Negative,"",""
"the greek yogurt, protein packed,","greek, dial, yogurt, interest",0.1299440977,22,true,Positive,"",""
healthier skin with use,"helps, skin, moisture, retain",0.1797814924,23,true,Positive,"",""
scent,"scent, leaves, packed, shape",0.0754600555,24,true,Positive,"",""
yogurt,"food, honey, vanilla, items",0.1051594109,25,true,Positive,"",""
nothing,"mind, comes, nothing, see",0.1169143182,26,true,Negative,"",""
n/a,off-topic,0.0,27,true,Negative,"",""
"Greek Yorgurt Vanilla Honey BODY wASH, WITH PROTEIN PACKET YOGURT.","greek, dial, yogurt, interest",0.2551316548,28,true,Positive,"",""
The yogurt,"food, honey, vanilla, items",0.1487178651,29,true,Positive,"",""
nothing,"mind, comes, nothing, see",0.1169143182,30,true,Negative,"",""
