Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
"packaging, from here it looks like something for the house, a little dark also?",off-topic,0.2418033825,0,true,Negative,"",""
hair remover,off-topic,0.0978577401,1,true,Negative,"",""
powered by lithium battery,off-topic,0.0326994504,2,true,Negative,"",""
Nothing...been out for years.,"nothing, see, comes, mind",0.2303378608,3,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,4,true,Positive,"",""
None.,off-topic,0.0369781972,5,true,Positive,"",""
don't know,"know, everything, think, product",0.1437425463,6,true,Neutral,"",""
It doesn't say exactly how the hair is removed and it is too much $$$,off-topic,0.360281535,7,true,Negative,"",""
I think there is a product called no no? but I would still love to get this product price not bad if it works great,"know, everything, think, product",0.4544321158,8,true,Mixed,"",""
nothing,"nothing, see, comes, mind",0.1628734634,9,true,Positive,"",""
na,off-topic,0.0185953418,10,true,Positive,"",""
"Frankly, I'm not sure what this is. Is it a razor powered by the lithium battery? Since I can't see the package that well, to me, it appears that there is shaving cream on the woman's leg, but the description above says no need for water or creams. I don't like the name of the product either. Sounds like someone from another country came up with it and they didn't know English very well.",off-topic,0.5565564911,11,true,Negative,"",""
that price is outrageous,"price, high, market, hair",0.103306521,12,true,Negative,"",""
others like it have been on the market,"price, high, market, hair",0.1273955291,13,true,Negative,"",""
price,"price, high, market, hair",0.067400622,14,true,Negative,"",""
price,"price, high, market, hair",0.067400622,15,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,16,true,Positive,"",""
battery powered,off-topic,0.0259082928,17,true,Negative,"",""
The colors,off-topic,0.0122974615,18,true,Neutral,"",""
nothing comes to mind,"nothing, see, comes, mind",0.2609593492,19,true,Positive,"",""
safe and gentle on skin,off-topic,0.108814565,20,true,Negative,"",""
can't think of anything,"know, everything, think, product",0.2185453243,21,true,Positive,"",""
? - very little information,off-topic,0.0708382274,22,true,Negative,"",""
the name is terrible,off-topic,0.1321494162,23,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,24,true,Positive,"",""
everything,"know, everything, think, product",0.1556026611,25,true,Negative,"",""
price,"price, high, market, hair",0.067400622,26,true,Negative,"",""
ll..,"know, everything, think, product",0.0882005412,27,"","","",""
Safe on all skin types and colors.,off-topic,0.0996319819,28,true,Negative,"",""
the packaging,off-topic,0.0408874921,29,true,Negative,"",""
Nothing comes to mind,"nothing, see, comes, mind",0.2609593492,30,true,Positive,"",""
nothing,"nothing, see, comes, mind",0.1628734634,31,true,Positive,"",""
battery powered,off-topic,0.0259082928,32,true,Negative,"",""
price,"price, high, market, hair",0.067400622,33,true,Negative,"",""
powered by lithium batteries,off-topic,0.0323412304,34,true,Negative,"",""
don't know,"know, everything, think, product",0.1437425463,35,true,Neutral,"",""
nothing,"nothing, see, comes, mind",0.1628734634,36,true,Positive,"",""
price,"price, high, market, hair",0.067400622,37,true,Negative,"",""
Nothing,"nothing, see, comes, mind",0.1628734634,38,true,Positive,"",""
"Since I am not sure how it works, it is sounds like just another gimmick",off-topic,0.0939994907,39,true,Negative,"",""
No pain,off-topic,0.0666547416,40,true,Negative,"",""
?,off-topic,0.0,41,"","","",""
nothing,"nothing, see, comes, mind",0.1628734634,42,true,Positive,"",""
nothing,"nothing, see, comes, mind",0.1628734634,43,true,Positive,"",""
powered by battery,off-topic,0.0259082928,44,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,45,true,Positive,"",""
Nothing,"nothing, see, comes, mind",0.1628734634,46,true,Positive,"",""
everything,"know, everything, think, product",0.1556026611,47,true,Negative,"",""
don't know,"know, everything, think, product",0.1437425463,48,true,Neutral,"",""
Nothing.,"nothing, see, comes, mind",0.1628734634,49,true,Positive,"",""
nothing,"nothing, see, comes, mind",0.1628734634,50,true,Positive,"",""
That it doesn't really work all that well. I would rather shave.,off-topic,0.2717064503,51,true,Negative,"",""
don't know,"know, everything, think, product",0.1437425463,52,true,Neutral,"",""
not sure,off-topic,0.1519020104,53,true,Neutral,"",""
??,off-topic,0.0,54,"","","",""
needs no water or creams,off-topic,0.0285437273,55,true,Negative,"",""
price,"price, high, market, hair",0.067400622,56,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,57,true,Positive,"",""
nothing,"nothing, see, comes, mind",0.1628734634,58,true,Positive,"",""
not sure,off-topic,0.1519020104,59,true,Neutral,"",""
don't need,off-topic,0.1270260699,60,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,61,true,Positive,"",""
Expensive.,off-topic,0.0694767719,62,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,63,true,Positive,"",""
no comment,off-topic,0.0852437079,64,true,Neutral,"",""
"If it works that is innovative enough for me, what more would be necessary?",off-topic,0.1352074377,65,true,Positive,"",""
nothing,"nothing, see, comes, mind",0.1628734634,66,true,Positive,"",""
not sure,off-topic,0.1519020104,67,true,Neutral,"",""
not sure,off-topic,0.1519020104,68,true,Neutral,"",""
EVERYTHING,"know, everything, think, product",0.1556026611,69,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,70,true,Positive,"",""
NOTHING,"nothing, see, comes, mind",0.1628734634,71,true,Positive,"",""
It removes unwanted hair.  There's another product that does the same thing,off-topic,0.3106271166,72,true,Negative,"",""
Nothing,"nothing, see, comes, mind",0.1628734634,73,true,Positive,"",""
the entire concept,off-topic,0.1176338542,74,true,Negative,"",""
nothing,"nothing, see, comes, mind",0.1628734634,75,true,Positive,"",""
nothing,"nothing, see, comes, mind",0.1628734634,76,true,Positive,"",""
nothing,"nothing, see, comes, mind",0.1628734634,77,true,Positive,"",""
NONE,off-topic,0.0369781972,78,true,Positive,"",""
same claims as other products,off-topic,0.0741341648,79,true,Negative,"",""
na,off-topic,0.0185953418,80,true,Positive,"",""
