Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
The brand,"product, products, brand, known",0.0161922633,0,true,Positive,"",""
72-hour odor coverage,"coverage, hour, 72, goes",0.0846302995,1,true,Positive,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,2,true,Positive,"",""
72hour odor coverage,"coverage, hour, 72, goes",0.0846302995,3,true,Positive,"",""
72-hour coverage,"coverage, hour, 72, goes",0.0655348176,4,true,Positive,"",""
don't know,"anything, think, love, husband",0.0859925625,5,true,Neutral,"",""
"""72-hour odor coverage""","coverage, hour, 72, goes",0.0846302995,6,true,Positive,"",""
Both anti perspirant and deodorant.,off-topic,0.0680200005,7,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,8,true,Negative,"",""
stain protection,"protection, promise, lasting, stain",0.0759119341,9,true,Positive,"",""
NOTHING,"comes, nothing, mind, see",0.1034113686,10,true,Negative,"",""
nothing,"comes, nothing, mind, see",0.1034113686,11,true,Negative,"",""
nothing,"comes, nothing, mind, see",0.1034113686,12,true,Negative,"",""
clear stain fighting,"fighting, fight, stain, protection",0.1166207071,13,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,14,true,Negative,"",""
72 hours!,"hours, lasts, 72, fights",0.0834473892,15,true,Positive,"",""
it is for extreme perspiration,off-topic,0.0204988118,16,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,17,true,Negative,"",""
none,none,0.031827874,18,true,Negative,"",""
72 hr protection,"hr, 72, coverage, protection",0.0144581927,19,true,Positive,"",""
72 hour coverage,"coverage, hour, 72, goes",0.1059192289,20,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,21,true,Negative,"",""
n/a,off-topic,0.0,22,true,Negative,"",""
better stain protection,"without, good, go, keep",0.184272522,23,true,Positive,"",""
none,none,0.031827874,24,true,Negative,"",""
new technology,"technology, combine, extra, fighting",0.0122645555,25,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,26,true,Negative,"",""
n/a,off-topic,0.0,27,true,Negative,"",""
the stain fighting and 72 hour oder coverage.,"coverage, hour, 72, goes",0.1564323768,28,true,Positive,"",""
Won't cause stains and no odor for 72 hours.,"extra, prevent, effective, body",0.1593086081,29,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,30,true,Negative,"",""
72 hour coverage,"coverage, hour, 72, goes",0.1059192289,31,true,Positive,"",""
clear 72 Hr coverage,"hr, 72, coverage, protection",0.0314835435,32,true,Positive,"",""
Price  3 day protection,"product, products, brand, known",0.0764570145,33,true,Positive,"",""
none,none,0.031827874,34,true,Negative,"",""
It sounds like a very heavy duty antiperspirant that lasts for days.,off-topic,0.1668090671,35,true,Positive,"",""
"The 72 hours odor free, goes clear and has stain protection for great price of $3.99, excellent for Right Guard.","guard, right, combine, technology",0.2816107931,36,true,Positive,"",""
nothing.This survey really needs to be about a third of the length of what I've already gone through.,off-topic,0.1285158278,37,true,Negative,"",""
the stain guard,"guard, right, combine, technology",0.0171125032,38,true,Positive,"",""
"That it combines antideodorant and antiperspirant in one.Usually, it's one or the other. Clear is also very good.","extra, prevent, effective, body",0.2251672993,39,true,Positive,"",""
I don't know.,"anything, think, love, husband",0.1216118482,40,true,Neutral,"",""
72 hour coverage,"coverage, hour, 72, goes",0.1059192289,41,true,Positive,"",""
72mhour oder coverage,off-topic,0.0516474308,42,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,43,true,Negative,"",""
it combines three favorite benefits of a deodorant into one product,"product, products, brand, known",0.0961101821,44,true,Positive,"",""
none,none,0.031827874,45,true,Negative,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,46,true,Positive,"",""
dont know,"anything, think, love, husband",0.1213635714,47,true,Neutral,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,48,true,Positive,"",""
n/a,off-topic,0.0,49,true,Negative,"",""
zzzzzzzzzzzzzzzz,off-topic,0.0,50,true,Negative,"",""
"WOW, hard to say really. The fact that it goes on clear is exciting. The 72 hour odor coverage is great.","without, good, go, keep",0.3482428816,51,true,Positive,"",""
72 hour coverage,"coverage, hour, 72, goes",0.1059192289,52,true,Positive,"",""
Stain protection.,"protection, promise, lasting, stain",0.0759119341,53,true,Positive,"",""
first right guard to combine stain fighting with wetness protection,"guard, right, combine, technology",0.1310891434,54,true,Positive,"",""
keep you dry for 72 hrs,off-topic,0.1054709436,55,true,Positive,"",""
Sweat and stain protection,"protection, promise, lasting, stain",0.1043683165,56,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,57,true,Negative,"",""
72 hour - wouldn't a showerbe better,"without, good, go, keep",0.2198492167,58,true,Positive,"",""
stainfighting technology  72-hour odor coverage,"technology, combine, extra, fighting",0.0332365928,59,true,Positive,"",""
wetness protection,"protection, promise, lasting, stain",0.0737333936,60,true,Positive,"",""
Stain protection,"protection, promise, lasting, stain",0.0759119341,61,true,Positive,"",""
goes on clear with extra protection,"goes, clear, fact, hour",0.210870531,62,true,Positive,"",""
lasts a long time,off-topic,0.0363310336,63,true,Positive,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,64,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,65,true,Negative,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,66,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,67,true,Negative,"",""
provides 72 hr odor coverage,"hr, 72, coverage, protection",0.0388060872,68,true,Positive,"",""
stain fighting,"fighting, fight, stain, protection",0.0545470019,69,true,Positive,"",""
none,none,0.031827874,70,true,Negative,"",""
It's designed to avoid stains.,off-topic,0.0238681812,71,true,Positive,"",""
nothing.,"comes, nothing, mind, see",0.1034113686,72,true,Negative,"",""
nothing,"comes, nothing, mind, see",0.1034113686,73,true,Negative,"",""
new,off-topic,0.0,74,true,Positive,"",""
offers strong protection for 72 hours,"provides, offers, powerful, protection",0.1457290844,75,true,Positive,"",""
72 hours of protection,"hours, lasts, 72, fights",0.1283747472,76,true,Positive,"",""
this is the same claim as any number of a&D's.,off-topic,0.1327864849,77,true,Negative,"",""
lasts 72 hours even though that would be a long time to not shower.,"goes, clear, fact, hour",0.2812650779,78,true,Positive,"",""
IT fights stains,"fighting, fight, stain, protection",0.0567896007,79,true,Positive,"",""
extreme??,off-topic,0.0140999303,80,true,Negative,"",""
fdshgcnb,off-topic,0.0,81,"","","",""
no,off-topic,0.0,82,true,Negative,"",""
Strong protection no staining,"goes, clear, fact, hour",0.1418079755,83,true,Positive,"",""
don't use,off-topic,0.0,84,true,Negative,"",""
nothing,"comes, nothing, mind, see",0.1034113686,85,true,Negative,"",""
benefit combination and effectiveness level,off-topic,0.0696733072,86,true,Positive,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,87,true,Positive,"",""
none,none,0.031827874,88,true,Negative,"",""
None,none,0.031827874,89,true,Negative,"",""
I like the fact that it will fight stains on Clothes.,"fighting, fight, stain, protection",0.17420892,90,true,Positive,"",""
Can't tell,"anything, think, love, husband",0.1220191264,91,true,Neutral,"",""
Nothing,"comes, nothing, mind, see",0.1034113686,92,true,Negative,"",""
72 hour odor coverage,"coverage, hour, 72, goes",0.1254929992,93,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,94,true,Negative,"",""
won't stain and lasts for 72 hours,"hours, lasts, 72, fights",0.1189991885,95,true,Positive,"",""
"Stain fighter, 72 hr. odor coverage","hr, 72, coverage, protection",0.0133267201,96,true,Positive,"",""
na,na,0.0069613149,97,true,Negative,"",""
stain fighting,"fighting, fight, stain, protection",0.0545470019,98,true,Positive,"",""
Works for a long time.,"works, hours, great, good",0.0039835053,99,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,100,true,Negative,"",""
It promises protection for 72 hours.,"hours, lasts, 72, fights",0.2070496566,101,true,Positive,"",""
72 hour odor coverage,"coverage, hour, 72, goes",0.1254929992,102,true,Positive,"",""
combines three deodorant protections and lasts a long time,off-topic,0.1324587129,103,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,104,true,Negative,"",""
nothing,"comes, nothing, mind, see",0.1034113686,105,true,Negative,"",""
I can't wear antiperspirant. It breaks me out. I wear deodorant only!,off-topic,0.1512558864,106,true,Negative,"",""
Sweat and stain protection,"protection, promise, lasting, stain",0.1043683165,107,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,108,true,Negative,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,109,true,Positive,"",""
supposed to last up to 72 hours,"hours, lasts, 72, fights",0.1697029999,110,true,Positive,"",""
Stain fighting technology,"technology, combine, extra, fighting",0.0273266885,111,true,Positive,"",""
produce & price,"product, products, brand, known",0.0600478476,112,true,Positive,"",""
It combines an antiperspirant and a stain protector.,off-topic,0.1123051086,113,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,114,true,Negative,"",""
stain protection,"protection, promise, lasting, stain",0.0759119341,115,true,Positive,"",""
none,none,0.031827874,116,true,Negative,"",""
THE STAIN FIGHTERS IN IT,"fighting, fight, stain, protection",0.0543833781,117,true,Positive,"",""
72-hour,off-topic,0.0,118,true,Positive,"",""
nothing innovative to me,off-topic,0.1030237186,119,true,Negative,"",""
"it's okay, but I don't use that stuff. Just natural and no problems these days for some reason. Maybe old people don't stink? AS IF>...",off-topic,0.1941062273,120,true,Negative,"",""
na,na,0.0069613149,121,true,Negative,"",""
It has 72 hour coverage,"coverage, hour, 72, goes",0.1223049907,122,true,Positive,"",""
cool,off-topic,0.0338079745,123,true,Positive,"",""
the 72 hour ordor coverage and sweat and stain protection is a good thing.,"without, good, go, keep",0.3584732215,124,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,125,true,Negative,"",""
Nothing,"comes, nothing, mind, see",0.1034113686,126,true,Negative,"",""
72 hour use,"coverage, hour, 72, goes",0.1033945154,127,true,Positive,"",""
na,na,0.0069613149,128,true,Negative,"",""
powerful sweat and stain protection,"powerful, protection, stain, sweat",0.1563129191,129,true,Positive,"",""
great package,off-topic,0.0258411392,130,true,Positive,"",""
focus on  perspiration stain in addition to antipersparent and longer odor protection.,"provides, offers, powerful, protection",0.1826970832,131,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,132,true,Negative,"",""
the combination of antiperspirant & deodorant along with clear application,"product, consider, people, find",0.074059773,133,true,Positive,"",""
stain fighting feature and 72-hour protection,off-topic,0.05938104,134,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,135,true,Negative,"",""
nothing not a product we would use.,"product, products, brand, known",0.0344232214,136,true,Negative,"",""
72 hour coverage,"coverage, hour, 72, goes",0.1059192289,137,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,138,true,Negative,"",""
na,na,0.0069613149,139,true,Negative,"",""
no comment,off-topic,0.0748199149,140,true,Neutral,"",""
"xtreme, 72 hr.","hr, 72, coverage, protection",0.0061475068,141,true,Positive,"",""
Combine powerful stain fighting technology with extra effective wetness protection and 72-hour odor coverage.,"technology, combine, extra, fighting",0.1623105432,142,true,Positive,"",""
sweat and stain protection,"protection, promise, lasting, stain",0.1043683165,143,true,Positive,"",""
don't know,"anything, think, love, husband",0.0859925625,144,true,Neutral,"",""
72 hour coverage,"coverage, hour, 72, goes",0.1059192289,145,true,Positive,"",""
stain protection,"protection, promise, lasting, stain",0.0759119341,146,true,Positive,"",""
72 hour odor coverage,"coverage, hour, 72, goes",0.1254929992,147,true,Positive,"",""
?,off-topic,0.0,148,"","","",""
N/A.,off-topic,0.0,149,true,Negative,"",""
72 hour protection,"hour, protection, 72, aginst",0.1391268849,150,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,151,true,Negative,"",""
it goes on clear,"goes, clear, fact, hour",0.1378318827,152,true,Positive,"",""
it is too expensive,off-topic,0.0473966457,153,true,Negative,"",""
72 hour coverage,"coverage, hour, 72, goes",0.1059192289,154,true,Positive,"",""
don't know,"anything, think, love, husband",0.0859925625,155,true,Neutral,"",""
NOTHING,"comes, nothing, mind, see",0.1034113686,156,true,Negative,"",""
that it provides stain fighting technology and sweat protection longer than other brands goes on clear,"technology, combine, extra, fighting",0.163924633,157,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,158,true,Negative,"",""
nothing in particular,"product, consider, people, find",0.0890982692,159,true,Negative,"",""
72 hour odor control,"control, odor, hour, lasting",0.1133719527,160,true,Positive,"",""
nothing,"comes, nothing, mind, see",0.1034113686,161,true,Negative,"",""
the stain-fighting technology and 72-hour protection,"technology, combine, extra, fighting",0.0282431141,162,true,Positive,"",""
na,na,0.0069613149,163,true,Negative,"",""
stain protection,"protection, promise, lasting, stain",0.0759119341,164,true,Positive,"",""
none,none,0.031827874,165,true,Negative,"",""
