Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
stretchable,off-topic,0.0,0,true,Positive,"",""
stretch,"delivers, stretch, flex, v-flex",0.0524915635,1,true,Positive,"",""
texture,"texture, best, cleaning, strengthens",0.0387322651,2,true,Positive,"",""
stronger paper designed for scrubbing,off-topic,0.048700231,3,true,Positive,"",""
v flex weave,"v, flex, weave, new",0.1210217317,4,true,Positive,"",""
new technology,"technology, v-flex, blah, hold",0.0434998873,5,true,Positive,"",""
It delivers stretch and scrubbing power.,"power, extra, scrubbing, appealing",0.126237138,6,true,Positive,"",""
strength,"strength, due, maybe, scrubing",0.0854617427,7,true,Positive,"",""
don't know,"love, try, say, must",0.1280216647,8,true,Neutral,"",""
stretch feature,off-topic,0.0248298904,9,true,Positive,"",""
That it is stretchy,off-topic,0.0,10,true,Positive,"",""
delivers stretch,"delivers, stretch, flex, v-flex",0.1211172422,11,true,Positive,"",""
NOTHING,"comes, mind, nothing, see",0.1512867742,12,true,Negative,"",""
nothing,"comes, mind, nothing, see",0.1512867742,13,true,Negative,"",""
na,na,0.0191506695,14,true,Negative,"",""
nothing,"comes, mind, nothing, see",0.1512867742,15,true,Negative,"",""
none,none,0.0417972726,16,true,Negative,"",""
I really see nothing innovative about it. So it stretches?,"strong, able, help, enough",0.2887074085,17,true,Negative,"",""
nothing,"comes, mind, nothing, see",0.1512867742,18,true,Negative,"",""
nothing,"comes, mind, nothing, see",0.1512867742,19,true,Negative,"",""
Don't know...the description doesn't say what the product is. Is it a paper towel?,off-topic,0.2354797033,20,true,Neutral,"",""
Added strength,off-topic,0.0604067911,21,true,Positive,"",""
nothing of value,off-topic,0.0722163181,22,true,Negative,"",""
nothing,"comes, mind, nothing, see",0.1512867742,23,true,Negative,"",""
scrubbing,"product, using, clean, day",0.0675229548,24,true,Positive,"",""
Weave Technology - stretchy - textures for cleaning,"technology, v-flex, blah, hold",0.0831374912,25,true,Positive,"",""
last longer while scrubbing,off-topic,0.1179235,26,true,Positive,"",""
nothing,"comes, mind, nothing, see",0.1512867742,27,true,Negative,"",""
Nothing,"comes, mind, nothing, see",0.1512867742,28,true,Negative,"",""
strength,"strength, due, maybe, scrubing",0.0854617427,29,true,Positive,"",""
best texture,"texture, best, cleaning, strengthens",0.0547756946,30,true,Positive,"",""
great stretch for cleaning,"delivers, stretch, flex, v-flex",0.1485251798,31,true,Positive,"",""
nothing,"comes, mind, nothing, see",0.1512867742,32,true,Negative,"",""
Stretch for greater scrubbing power.,"power, extra, scrubbing, appealing",0.1224066193,33,true,Positive,"",""
price,"product, products, brand, good",0.0549048318,34,true,Positive,"",""
nothing,"comes, mind, nothing, see",0.1512867742,35,true,Negative,"",""
weave,"v-flex, weave, flexable, strenght",0.0978038551,36,true,Positive,"",""
Stronger for scrubbing.,"might, always, paper, seem",0.1826701616,37,true,Positive,"",""
NOTHING,"comes, mind, nothing, see",0.1512867742,38,true,Negative,"",""
that it is much stronger than other towels.  newer technology,"technology, v-flex, blah, hold",0.0957534938,39,true,Positive,"",""
I like them,off-topic,0.0,40,true,Positive,"",""
the way it works around my house,off-topic,0.0381251179,41,true,Positive,"",""
"It is very good, but I use other products for cleaning and scrubbing with organic solution.","product, products, brand, good",0.2078328906,42,true,Neutral,"",""
The scrubbing power,"power, extra, scrubbing, appealing",0.0907192757,43,true,Positive,"",""
its texture,"texture, best, cleaning, strengthens",0.0387322651,44,true,Positive,"",""
you can scrub with it,"scrub, can, abitity, absorbant",0.0008704432,45,true,Positive,"",""
Viva stretches for great scrubbing power.  That is not always true.  I bought a bargain brand.  The paper was much harder to control.  It kept stretching out and didn't get up the spill.,"might, always, paper, seem",0.707158905,46,true,Positive,"",""
stretch,"delivers, stretch, flex, v-flex",0.0524915635,47,true,Positive,"",""
great,off-topic,0.0,48,true,Positive,"",""
stretch,"delivers, stretch, flex, v-flex",0.0524915635,49,true,Positive,"",""
that it stretches,"stretching, stretches, textures, therefor",0.0302828005,50,true,Positive,"",""
zzzzzzzzzzzzzzzzz,off-topic,0.0,51,true,Negative,"",""
nothing,"comes, mind, nothing, see",0.1512867742,52,true,Negative,"",""
The disposable durability will appeal to many people.,off-topic,0.0593045609,53,true,Positive,"",""
That it stretches.,"stretching, stretches, textures, therefor",0.0428263471,54,true,Positive,"",""
ability to strech,"level, whole, take, ability",0.1288149184,55,true,Positive,"",""
better scrubbing power,"power, extra, scrubbing, appealing",0.1195645005,56,true,Positive,"",""
it's a paper towel how innovative can you be,"paper, towels, towel, dish",0.0914694295,57,true,Negative,"",""
v-flex,off-topic,0.0,58,true,Positive,"",""
it stretches,"stretching, stretches, textures, therefor",0.0302828005,59,true,Positive,"",""
scrubbing power,"power, extra, scrubbing, appealing",0.0740719784,60,true,Positive,"",""
