Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
none,none,0.0295961152,0,true,Negative,"",""
package,"application, minute, source, method",0.0266560663,1,true,Positive,"",""
designed for topical application to tooth sensitivity,off-topic,0.0411935991,2,true,Positive,"",""
strips,"helps, issue, strip, 00",0.0262479956,3,true,Positive,"",""
1 month of protection,"protection, month, 1, act",0.0939422506,4,true,Positive,"",""
it provides tooth sensitivity like never before,"get, takes, dentist, good",0.2394852457,5,true,Positive,"",""
that it is a sensitivity product that will stay stable and will last for a month,"products, product, crest, heard",0.2004672888,6,true,Positive,"",""
tooth sensitivity treatment is applied where needed,"treatment, amount, exactly, right",0.1327552044,7,true,Positive,"",""
It would be helpful for the person with sensitive teeth,"problem, product, never, probably",0.1943335768,8,true,Positive,"",""
dont know,"love, know, idea, everything",0.1145038243,9,true,Neutral,"",""
nothing,"love, know, idea, everything",0.0990865563,10,true,Negative,"",""
it's effective,"instead, effects, form, gel",0.0606532056,11,true,Positive,"",""
the claim to reduce sensitive teeth,"instead, effects, form, gel",0.1835012142,12,true,Neutral,"",""
tooth sensitivity,"helps, sensitive, fix, people",0.0782551526,13,true,Positive,"",""
?,off-topic,0.0,14,"","","",""
It's in the form of strips.,"instead, effects, form, gel",0.1112754871,15,true,Positive,"",""
helps pain,"treatment, amount, exactly, right",0.1210549887,16,true,Positive,"",""
na,na,0.0053499809,17,true,Negative,"",""
to apply it only where needed and the 1-month relief,"immediate, quick, relief, 1-month",0.1780188845,18,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,19,true,Negative,"",""
eliminates sensitivity,"instead, effects, form, gel",0.0947343097,20,true,Positive,"",""
The price,"market, price, buy, products",0.0540892679,21,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,22,true,Negative,"",""
I suppose it might solve a problem for some one till they can get to a dentist,off-topic,0.0679722354,23,true,Neutral,"",""
has a strip which is very good,"get, takes, dentist, good",0.1437142506,24,true,Positive,"",""
unsure,"get, takes, dentist, good",0.0867370831,25,true,Neutral,"",""
nothing,"love, know, idea, everything",0.0990865563,26,true,Negative,"",""
protection against sensitivity,"protection, month, 1, act",0.0583149906,27,true,Positive,"",""
One stip applied for 10 min.. provides immediate relief up to 1 month.,"provide, provides, protection, applied",0.1550985123,28,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,29,true,Negative,"",""
nothing another overpriced gimmick,"love, know, idea, everything",0.1356391243,30,true,Negative,"",""
Strips applied directly to the sensitive teeth for faster relief.,"instead, effects, form, gel",0.2350786973,31,true,Positive,"",""
a strip is used to apply,"helps, issue, strip, 00",0.0894552669,32,true,Positive,"",""
do-it-yourself tooth pain relief - supposedly good for a month  -  totally new,"get, takes, dentist, good",0.3575073432,33,true,Positive,"",""
"All of it, but is kind of expensive for this product.","products, product, crest, heard",0.1452859787,34,true,Mixed,"",""
Helps folks who have sensitive teeth...I have seen products similar ti this before.,"products, product, crest, heard",0.2120241021,35,true,Positive,"",""
How long the relief last.,"love, know, idea, everything",0.2089770114,36,true,Positive,"",""
the right amount of tooth sensitivity treatment is applied.,"treatment, amount, exactly, right",0.1692471818,37,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,38,true,Negative,"",""
method of application - in a strip that is easy to apply,"application, minute, source, method",0.1247846289,39,true,Positive,"",""
length of relief,off-topic,0.0324042231,40,true,Positive,"",""
my teeth are very sensitive. If I had A coupon I would try it,"get, takes, dentist, good",0.226616587,41,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,42,true,Negative,"",""
1 month protection,"protection, month, 1, act",0.0939422506,43,true,Positive,"",""
zzzzzzzzzzzzzzzzz,off-topic,0.0,44,true,Negative,"",""
It is a strip that treats tooth sensitivity,"helps, issue, strip, 00",0.1132467718,45,true,Positive,"",""
The lasting effect. Toothpaste requires daily use and takes a while to become effective/,off-topic,0.2847487589,46,true,Positive,"",""
I've never heard of anything that could work as well as this.,"love, know, idea, everything",0.2348841798,47,true,Positive,"",""
stops sensitivity for up to one month,"month, full, protects, entire",0.1196156534,48,true,Positive,"",""
An application protects up to a 1 month.,"application, minute, source, method",0.0961660606,49,true,Positive,"",""
immediate relief for up to a month,"month, full, protects, entire",0.112987926,50,true,Positive,"",""
I have false teeth so it doesn't appeal to me.,off-topic,0.0749415357,51,true,Negative,"",""
The packaging is nice.,off-topic,0.0968723933,52,true,Positive,"",""
relieves sensitivity for up to a monht,"instead, effects, form, gel",0.1036115504,53,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,54,true,Negative,"",""
I don't know.,"love, know, idea, everything",0.1147841941,55,true,Neutral,"",""
"Nothing, there are other strips available that are cheaper.",off-topic,0.0897732968,56,true,Negative,"",""
it provides instant pain relief,"provide, provides, protection, applied",0.1415324037,57,true,Positive,"",""
the shape,off-topic,0.0435251084,58,true,Positive,"",""
use one strip at a time,"helps, issue, strip, 00",0.0464628337,59,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,60,true,Negative,"",""
expence..,off-topic,0.0,61,true,Negative,"",""
It relieves tooth sensiticvity,"helps, sensitive, fix, people",0.0965654353,62,true,Positive,"",""
nothing,"love, know, idea, everything",0.0990865563,63,true,Negative,"",""
help with teeth sensetivity,"get, takes, dentist, good",0.1783238729,64,true,Positive,"",""
i month of protection,"protection, month, 1, act",0.0767035264,65,true,Positive,"",""
Immediate relief with up to 1 month protection from sensitivity.,"protection, month, 1, act",0.1712359095,66,true,Positive,"",""
the product,"products, product, crest, heard",0.0353297193,67,true,Positive,"",""
A fresh idea,"problem, product, never, probably",0.1358910158,68,true,Positive,"",""
It is unusual to have sensitivity relief in this form,"instead, effects, form, gel",0.1661972234,69,true,Positive,"",""
Actually applying a strip to teeth,"instead, uses, using, gel",0.1999710075,70,true,Positive,"",""
