Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
not a razor BUT I DO want to know just HOW it works!,"love, water, hate, want",0.2750240825,0,true,Positive,"",""
safe and gentle,"safe, gentle, easy, dermatologist",0.1404995716,1,true,Positive,"",""
no need for water or creams,"water, need, creams, cream",0.1000778483,2,true,Positive,"",""
Nothing,"nothing, something, old, things",0.103796716,3,true,Negative,"",""
nothing,"nothing, something, old, things",0.103796716,4,true,Negative,"",""
The it removes hair quickly.,"hair, trying, tsk, able",0.2063911129,5,true,Positive,"",""
use anywhere there is unwanted hair,"hair, unwanted, removes, painlessly",0.2303331937,6,true,Positive,"",""
Full body hair removal,"full, body, away, sweeps",0.1792692775,7,true,Positive,"",""
"Would be great to use have a new scare on leg and it would work better on it than a sharp blade. I could save money not buy razor blade, I could use on back of neck and facial hair it would be great. Had epilady once it was a killer pulled hair out ouch","away, get, nothing, back",0.5838068119,8,true,Positive,"",""
I may be able use this to remove my facial hair,"hair, trying, tsk, able",0.2925176968,9,true,Positive,"",""
sweeping away hair,"away, get, nothing, back",0.1482501728,10,true,Positive,"",""
no comment,off-topic,0.0569746372,11,true,Neutral,"",""
n/a,off-topic,0.0,12,true,Negative,"",""
doesn't need water,"water, need, creams, cream",0.0812828814,13,true,Positive,"",""
"not a razor, gentle....safe for all skin types","skin, pain, sensitive, types",0.2194376142,14,true,Positive,"",""
sweeps away,"away, get, nothing, back",0.1041652092,15,true,Positive,"",""
nothing,"nothing, something, old, things",0.103796716,16,true,Negative,"",""
full body hair remover -removes painlessly,"full, body, away, sweeps",0.2154251816,17,true,Positive,"",""
The package,"system, using, uses, battery",0.0373142054,18,true,Positive,"",""
"painless with no nicks, cuts bumps or burns","burns, cut, cuts, nicks",0.1497156288,19,true,Positive,"",""
painless and unwantd hair instantly,"hair, unwanted, removes, painlessly",0.2092808381,20,true,Positive,"",""
no need to use a razor and doesn't hurt sensitive skin,"skin, pain, sensitive, types",0.2962541697,21,true,Positive,"",""
? - I'm not sure how this product works,"works, say, great, sounds",0.0722645147,22,true,Negative,"",""
not a razor or laser,"laser, neither, razor, hair",0.0657808112,23,true,Positive,"",""
full body hair remover sweeps away hair,"full, body, away, sweeps",0.2685467557,24,true,Positive,"",""
nothing,"nothing, something, old, things",0.103796716,25,true,Negative,"",""
no cuts when sahving,"burns, cut, cuts, nicks",0.0773991061,26,true,Positive,"",""
less-expensive alternative to traditional hair-removal methods,"product, waxing, whether, etc",0.1252489906,27,true,Positive,"",""
It is instant and painless.,"system, using, uses, battery",0.1082393541,28,true,Positive,"",""
sweeps away hair,"away, get, nothing, back",0.1457347956,29,true,Positive,"",""
I'm not familiar with this type of product.,off-topic,0.076717218,30,true,Neutral,"",""
everything,"nothing, something, old, things",0.097768862,31,true,Positive,"",""
removes hair instantly and painlessly,"hair, unwanted, removes, painlessly",0.2194433056,32,true,Positive,"",""
it's trite,off-topic,0.0548919124,33,true,Negative,"",""
"it ""gently sweeps away"" hair so that it's safe for all skin types and won't hurt it","hair, trying, tsk, able",0.3427245156,34,true,Positive,"",""
"the price, if it works","works, say, great, sounds",0.0361878581,35,true,Neutral,"",""
nothing,"nothing, something, old, things",0.103796716,36,true,Negative,"",""
lithism battery,"battery, lithium, uses, rechargeable",0.0261504753,37,true,Positive,"",""
Recommended by Dermatologists,"skin, pain, sensitive, types",0.0970368625,38,true,Positive,"",""
"After hearing all the things it isn't, I have to wonder what is is. Hopefully it is nothin like Epilady.","nothing, something, old, things",0.3007153951,39,true,Negative,"",""
