Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
antiperspirant,off-topic,0.0,0,true,Negative,"",""
sweat & stain protection,off-topic,0.1105504126,1,true,Negative,"",""
nothing just anouther deoderant,"nothing, just, another, anouther",0.5271110018,2,true,Negative,"",""
packageing,off-topic,0.0,3,true,Positive,"",""
sounds like all the others,off-topic,0.2241344568,4,true,Negative,"",""
don't know,"know, everything, can, think",0.2241285258,5,true,Neutral,"",""
"""goes on clear, without compromising performance""",off-topic,0.2330818567,6,true,Negative,"",""
Brand,"packaging, products, product, available",0.0493283718,7,true,Negative,"",""
goes on clear,"clear, goes, going, 72",0.3144503916,8,true,Negative,"",""
na,na,0.0378225873,9,true,Positive,"",""
nothing,"nothing, just, another, anouther",0.2635555009,10,true,Positive,"",""
nothing,"nothing, just, another, anouther",0.2635555009,11,true,Positive,"",""
none,"none, pagage",0.0768175156,12,true,Positive,"",""
nothing,"nothing, just, another, anouther",0.2635555009,13,true,Positive,"",""
nothing,"nothing, just, another, anouther",0.2635555009,14,true,Positive,"",""
it's a deodorant,off-topic,0.0722972493,15,true,Negative,"",""
Nothing,"nothing, just, another, anouther",0.2635555009,16,true,Positive,"",""
none,"none, pagage",0.0768175156,17,true,Positive,"",""
nothing,"nothing, just, another, anouther",0.2635555009,18,true,Positive,"",""
clear formula,off-topic,0.0190144632,19,true,Negative,"",""
nothing,"nothing, just, another, anouther",0.2635555009,20,true,Positive,"",""
sweat and stain protection,off-topic,0.0961759943,21,true,Negative,"",""
clear color,off-topic,0.0149354171,22,true,Negative,"",""
none,"none, pagage",0.0768175156,23,true,Positive,"",""
nothing,"nothing, just, another, anouther",0.2635555009,24,true,Positive,"",""
n/a,off-topic,0.0,25,true,Positive,"",""
That it is an antiperspirant and Deodorant.,off-topic,0.1252225091,26,true,Negative,"",""
It's pretty innovative,off-topic,0.2910347872,27,true,Positive,"",""
everything,"know, everything, can, think",0.2461314694,28,true,Negative,"",""
its deodorant,off-topic,0.0722972493,29,true,Negative,"",""
Still a stick deoderant,off-topic,0.2029544949,30,true,Negative,"",""
Clear Gel,off-topic,0.1834880371,31,true,Negative,"",""
nothing,"nothing, just, another, anouther",0.2635555009,32,true,Positive,"",""
Roll on container,off-topic,0.1110569726,33,true,Negative,"",""
Nothing,"nothing, just, another, anouther",0.2635555009,34,true,Positive,"",""
"./,",off-topic,0.0,35,"","","",""
the wetness protection,off-topic,0.0551217743,36,true,Negative,"",""
Lots of these types of products already available.,"packaging, products, product, available",0.1719177595,37,true,Negative,"",""
I don't know.,"know, everything, can, think",0.3169656009,38,true,Neutral,"",""
