Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
nothing,"nothing, comes, mind, new",0.2581988897,0,true,Positive,"",""
another paper towel,"towel, paper, another, just",0.1372443227,1,true,Negative,"",""
price,"price, appealing, cheaper, double",0.1003992636,2,true,Negative,"",""
nothing,"nothing, comes, mind, new",0.2581988897,3,true,Positive,"",""
the price,"price, appealing, cheaper, double",0.1003992636,4,true,Negative,"",""
other brands say they work for scrubbing,off-topic,0.3927816127,5,true,Negative,"",""
None.,off-topic,0.0608625771,6,true,Positive,"",""
price,"price, appealing, cheaper, double",0.1003992636,7,true,Negative,"",""
nothing,"nothing, comes, mind, new",0.2581988897,8,true,Positive,"",""
It's still just a paper towel-type product.,off-topic,0.1944745843,9,true,Negative,"",""
don't know,"know, everything, sure, dont",0.225071403,10,true,Neutral,"",""
nothing,"nothing, comes, mind, new",0.2581988897,11,true,Positive,"",""
na,na,0.0344929055,12,true,Positive,"",""
nothing,"nothing, comes, mind, new",0.2581988897,13,true,Positive,"",""
I will not pay 2.00 for a roll of paper tpwels,"towel, paper, another, just",0.4178657062,14,true,Negative,"",""
nothing,"nothing, comes, mind, new",0.2581988897,15,true,Positive,"",""
nothing,"nothing, comes, mind, new",0.2581988897,16,true,Positive,"",""
Don't know.,"know, everything, sure, dont",0.3182990307,17,true,Neutral,"",""
Nothing,"nothing, comes, mind, new",0.2581988897,18,true,Positive,"",""
I have no idea,off-topic,0.2454217898,19,true,Neutral,"",""
nothing,"nothing, comes, mind, new",0.2581988897,20,true,Positive,"",""
paper towel,"towel, paper, another, just",0.1120595202,21,true,Positive,"",""
there are a lot of cleaning products out there -,off-topic,0.1184659114,22,true,Negative,"",""
none,off-topic,0.0608625771,23,true,Positive,"",""
nothing,"nothing, comes, mind, new",0.2581988897,24,true,Positive,"",""
Everything,"know, everything, sure, dont",0.2425736009,25,true,Negative,"",""
none,off-topic,0.0608625771,26,true,Positive,"",""
none,off-topic,0.0608625771,27,true,Positive,"",""
nothing,"nothing, comes, mind, new",0.2581988897,28,true,Positive,"",""
nothing,"nothing, comes, mind, new",0.2581988897,29,true,Positive,"",""
Nothing,"nothing, comes, mind, new",0.2581988897,30,true,Positive,"",""
n/a,off-topic,0.0,31,true,Positive,"",""
nothing,"nothing, comes, mind, new",0.2581988897,32,true,Positive,"",""
It's paper towels.,"towel, paper, another, just",0.136038835,33,true,Negative,"",""
IT'S A PAPER TOWEL.GIMME A BREAK,"towel, paper, another, just",0.4060140723,34,true,Negative,"",""
nothing,"nothing, comes, mind, new",0.2581988897,35,true,Positive,"",""
nothing to dislike,"nothing, comes, mind, new",0.3496581171,36,true,Positive,"",""
nothing,"nothing, comes, mind, new",0.2581988897,37,true,Positive,"",""
